Offense.Code,Offense.Category,Offense.Description,Offense.Level
50011,146D,SEL/ETC BAGE/ETC:FAV TRET,M
48090,146E,DISCL PO/ETC ADR PH/NBR,M
48043,146E(A),DISCLS/ETC PO/ETC ADR/ETC,M
48044,146E(B),GIVE PO/ETC ADR/ETC:B/INJ,F
48141,146G(A)(1),PO/ETC DISCLOSE INFO,M
48142,146G(A)(2),PO/ETC SOLICITS:EXCH INFO,M
48153,146G(B),SOLICT PO/ETC FINAN GAIN,M
48143,146G(C)(1),PO/ETC SOLICIT:SELL PHOTO,M
48154,146G(C)(2),SOLICT PO/ETC DISCL PHOTO,M
56006,147,INHUMANITY TO PRISONERS,M
48122,148(A)(1),OBSTRUCT/ETC PUB OFCR/ETC,M
48132,148(A)(2),OBSTR/ETC PUB OFC:RADIO,M
48087,148(B),TAKE NON-FIREARM FROM PO,F
48123,148(B),TAKE PO/ETC WPN:NON-F/ARM,M
48091,148(C),TAKE F/ARM FROM PO:SC,F
48085,148(D),ATT RMV/ETC F/ARM:PO/ETC,F
48124,148(D),ATT REM/ETC PO/ETC F/ARM,M
48092,148(D)(1),ATT RMV 'PO' F/ARM:S/CIRC,F
53081,148.1(A),FALSE BOMB/ETC REP:PO/ETC,F
53129,148.1(A),FALSE BOMB/ETC RPT:PO/ETC,M
53102,148.1(B),FALSE BOMB RPRT TO PO,F
53147,148.1(B),FALSE BOMB REPORT ON DUTY,M
53103,148.1(C),FALSE BOMB REPORT,F
53148,148.1(C),FALSE BOMB REPORT,M
52164,148.1(D),GIVE/PLACE/ETC FALSE BOMB,F
53149,148.1(D),GIVE/PLACE/ETC FALSE BOMB,M
48089,148.10(A),RESIST PO:CAUSE DEATH/SBI,F
48138,148.10(A),RESIST PO:CAUSE DEATH/SBI,M
48155,148.2(2),DISOBEY FIREMAN/PO ORDERS,M
48156,148.2(3),DISORD CONDUCT AT FIRE,M
48157,148.2(4),PRVNT ASSTNC EXTNGSH FIRE,M
48028,148.2.1,INTRFER/ETC:FIREMAN/RESCR,M
48029,148.2.2,DISOBEY ORDR OF F/MAN/ETC,M
48030,148.2.3,DLAY/PRVNT FIRE EXTNGUISH,M
48031,148.2.4,PREVENT FIRE ASSISTANCE,M
53059,148.3(A),FALSE REPORT EMERGENCY,M
53060,148.3(B),FALSE RPT EMERG:GBI/DEATH,F
53116,148.4(A)(1),TAMPER/ETC W/FIREALRM/ETC,M
53086,148.4(A)(2),SEND/ETC FALSE FIRE ALARM,M
53119,148.4(B)(1),FALSE FIRE ALARM:GBI,F
53120,148.4(B)(2),FALSE FIRE ALARM:DEATH,F
53104,148.5(A),FALSE CRIME:TO SPEC PO'S,M
53105,148.5(B),FALS RPT CRIME:SPEC PO,M
53110,148.5(C),FLS RPT CRIME:LAW ENF EMP,M
53126,148.5(D),FLS RPT CRIME:GRAND JURY,M
53146,148.5(F),FLS RPT F/A LOST:LE EMP,M
48099,148.6(A)(1),FALSE ALEGE:PO MISCONDUCT,M
48100,148.6(B),FALSE CLAIM/LEIN AGNST PO,M
44006,148.7,IMPRSNATE:SRV OTHRS SENT,M
48077,148.9(A),FALSE ID TO SPECIFIC PO'S,M
48079,148.9(B),FALSE ID TO SPECIFIC PO,M
13004,149,ASSAULT BY PUBLIC OFFICER,F
13221,149,ASSAULT BY PUBLIC OFFICER,M
48015,150,REFUSE TO AID OFFICER,M
9134,151(A)(1),ADVOCATE INJ PO W/O INJ,M
9135,151(A)(2),ADVOCAT KILL/INJ PO W/INJ,F
66123,152(A),CONCL/ETC ACCIDENTL DEATH,M
50145,152.3(D),FAIL RPT CRIM AGST CHILD,M
48016,153,COMP/CNCEL CRIM:TAK $/ETC,M
48041,153,COMP/CNCEL CRIM:FOR $/ETC,F
26339,154(A),DBTR HID/ETC PROP:DEF/ETC,M
26340,154(B),DBTR HID/ETC PROP:DEF/ETC,F
26341,155(A),DEFN HID/ETC PROP:DEF/ETC,M
26342,155(B),DEFN HID/ETC PROP:DEF/ETC,F
26646,155.5(A),SELL/ETC PROP AVOID RESTN,M
26546,155.5(B),SELL/ETC PROP:AVOID RESTI,F
26009,156,MISREP CHILD TO INHERIT,F
26010,157,SUB ONE CHILD FOR ANOTHER,F
50012,158,COMMON BARRATRY,M
31247,160(A),BAIL SRVS:SOLICITATION,M
51021,165,BRIBE PUBLIC OFFICIAL,F
50103,166(A)(1),CNTMPT:CRT:DISRD/ETC BEHV,M
50187,166(A)(10),CONTEMPT:VIOL GANG INJUNC,M
50104,166(A)(2),CONTEMPT:PRESENCE OF JURY,M
50105,166(A)(3),CONTEMPT:BREACH OF PEACE,M
50106,166(A)(4),CONTEMPT:DISOBEY CRT ORDR,M
50107,166(A)(5),CONTEMPT:RESIST ORDER/ETC,M
50108,166(A)(6),CONTEMPT:REFUSE TO SWEAR,M
50183,166(A)(6),CONTEMPT:JUROR DISOBEY,M
50109,166(A)(7),CONTEMPT:PUB FLS/ETC RPT,M
50184,166(A)(7),CONTEMPT:REFUSE TO SWEAR,M
50110,166(A)(8),CONTEMPT:INFLUENCE SENT,M
50185,166(A)(8),CONTEMPT:PUB FLS/ETC RPT,M
50174,166(A)(9),CONTEMPT:VIOL GANG INJUNC,M
50186,166(A)(9),CONTEMPT:INFLUENCE SENT,M
50166,166(B)(1),CNTEMPT OF COURT:PR 646.9,M
50112,166(C)(1),CONTEMPT:VIOL PROTECT ORD,M
50124,166(C)(4),VIO PROT ORD:DOMSTIC W/PR,F
50125,166(C)(4),VIO PROT ORDER:DOMES:W/PR,M
50150,166(D)(1),VIO PROT ORD:W/FIREARM,M
50151,166(D)(1),VIO PROT ORD:W/FIREARM,F
50022,167,RECORD JURY DELIBERATION,M
50094,168(A),DISCL WARR INFO PR EXECUT,F
50024,169,PICKT COURTHSE IMPDE JUST,M
57004,170,OBTAIN WARRANT W/O CAUSE,M
48017,171,COMMUN W/REFORM INMATE,M
52349,171.5(C)(1),POS IN AIRPORT:FIREARM,M
52358,171.5(C)(10),POS IN AIRPORT:STUN GUN,M
52359,171.5(C)(11),POS AIRPORT:PROJECTLE WPN,M
52360,171.5(C)(12),POS IN AIRPORT:AMMUNITION,M
52350,171.5(C)(2),POSSESS IN AIRPORT:KNIFE,M
52351,171.5(C)(3),POS IN AIRPORT:BOX CUTTER,M
52352,171.5(C)(4),POS IN AIRPRT:HND GRENADE,M
52353,171.5(C)(5),POS AIRPRT:RPLCA GRENADE,M
52354,171.5(C)(6),POS AIRPRT:PLSTIC GRENADE,M
52355,171.5(C)(7),POS AIRPRT:REPLICA F/ARM,M
52356,171.5(C)(8),POS AIRPRT:FRAME OF F/ARM,M
52357,171.5(C)(9),POS AIRPRT:TEAR GAS WPN,M
52681,171.7(B),POSS WPN STERIL TRNST FAC,M
52245,171B(A)(1),POS/ETC F/ARM:PUB BLD/ETC,F
52682,171B(A)(1),POSS/ETC F/ARM: PUB BLDG,M
52227,171B(A)(2),POS/ETC D/WPN:PUB BLD/ETC,F
52649,171B(A)(2),POSS DEADLY WPN:PUB BLDG,M
52246,171B(A)(3),POS/ETC KNIFE:PUB BLD/ETC,F
52683,171B(A)(3),POSS/ETC KNIFE: PUB BLDG,M
52311,171B(A)(4),POSS/ETC TEARGAS:PUB BLDG,F
52312,171B(A)(4),POSS/ETC TEARGAS:PUB BLDG,M
52304,171B(A)(5),POS/ETC TASER/STUNGUN:BLD,F
52305,171B(A)(5),POS/ETC TAZER/STUNGUN:BLD,M
52418,171B(A)(6),POSS/ETC BB/PELLET:PUBBLD,F
52419,171B(A)(6),POSS/ETC BB/PELLET:PUBBLD,M
52149,171C,LOAD F/ARM:STATE CAP/ETC,F
52684,171C(A)(1),LOADED FIREARM ST CAPITOL,F
52685,171C(A)(1),LOADED FIREARM ST CAPITOL,M
52686,171C(A)(2),POSS WEAPON ST CAPITOL,M
52383,171D(A),LOADED GUN:ST OFCR RESDNC,F
52384,171D(A),LOADED GUN:ST OFCR RESDNC,M
52385,171D(B),LOADED GUN:ST OFCR RES GR,F
52386,171D(B),LOADED GUN:ST OFCR RES GR,M
52146,171D.2,LOADED GUN ST OFF RES GRD,F
53012,171F.1,REMAIN IN LEGIS CHAMBER,M
53013,171F.2,DISRUPT STATE CAPITOL BUS,M
41080,172(A),SELL LIQUOR NEAR PRISON,M
41004,172A,SELL LIQ NEAR UNIVERSITY,M
41005,172B.1,SELL LIQUOR NEAR UCLA,M
41006,172D.1,SELL LIQ NEAR UC RIVERSDE,M
41007,172G.1,SELL LIQ NR CRTN COLL/UNV,M
41009,172L,SELL LIQ NR CLAREMNT COLL,M
3004,173,IMPORT FOREIGN CONVICTS,M
56007,181,INFRINGE PERSONAL LIBERTY,F
46028,182(A)(1),CONSPIRACY:COMMIT CRIME,F
46038,182(A)(1),CONSPIRACY:COMMIT CRIME,M
46029,182(A)(2),CONSP:FALSE/ETC INDICTMNT,F
46044,182(A)(2),CONSP: FALSE INDICTMENT,M
46030,182(A)(3),CNSP:FLS MNTN/ETC SUIT/ET,F
46045,182(A)(3),CONSP: FLS MAINTAIN SUIT,M
26596,182(A)(4),CONSPIRACY/DEFRAUD/PROP,M
46031,182(A)(4),CONSPIRE:DEFRAUD/ETC PRSN,F
46032,182(A)(5),CONSPRCY:OBST JUSTICE/ETC,F
46046,182(A)(5),CONSP: INJUROIUS TO PUB,M
46033,182(A)(6),CONSP:AGAINST EXEC OFICER,F
46035,182.5,CONSPIRE COMMIT FEL:GANG,F
46047,182.5,CONSP COMMIT FEL GANG ACT,M
48018,185,WEAR MASK UNLAWFL PURPOSE,M
47002,186.10(A),MONEY LAUNDERING,F
47006,186.10(A),MONEY LAUNDERING,M
66062,186.22(A),PARTICIPATE:CRIM ST GANG,F
66107,186.22(A),PARTICIPATE:CRIME ST GANG,M
66149,186.22(B)(1),PROMOTE/ETC CRIM ST GANG,F
66130,186.22(D),CRIM ST GANG:PUB OFF CONV,M
66131,186.22(D),CRIM ST GANG:PUB OFF CONV,F
66081,186.26(A),VIOL:GET MIN:CRIM ST GANG,F
66128,186.26(A),VIOL SOLICIT CRM ST GANG,F
66217,186.26(B),SOLICIT BY THREAT ST GANG,F
66121,186.26(C),MNR COERC/ETC MNR:ST GANG,M
66126,186.26(C),PHY VIO COERC/ETC ST GANG,F
66105,186.28(A),SELL/ETC F/ARM:GANG ACTIV,M
66106,186.28(A),SEL/ETC F/ARM:GANG ACTIVE,F
66129,186.33(A),VIOL REG REQ:CRIM ST GANG,M
9005,187(A),MURDER,F
9154,187(A),MURDER:FIRST DEGREE,F
9155,187(A),MURDER:SECOND DEGREE,F
9174,187(A),MURDER:SEC DEG ON PO,F
9176,187(A),MRDR:1ST DEG:SHOOT F/VEH,F
9157,191.5(A),GR VEH MANSL WHILE INTOX,F
9180,191.5(B),GROS VEH MNSL W/VES:INTOX,F
9198,191.5(B),VEH MANSL WHILE INTOXICAT,F
9199,191.5(B),VEH MANSL WHILE INTOXICAT,M
9146,192(A),VOLUNTARY MANSLAUGHTER,F
9147,192(B),INVOLUNTARY MANSLAUGHTER,F
9150,192(C)(1),VEH MANSL W/GROSS NEG,F
9200,192(C)(1),VEH MANSL W/GROSS NEGLNCE,M
9151,192(C)(2),VEH MANSL W/O GROSS NEG,M
9158,192(C)(3),DUI VEH MANS W/O GR NEG,F
9201,192(C)(3),VEH MNSL:CAUSE ACC F/GAIN,F
9177,192.5(A),VEH MNSL W/VESSL W/GR NEG,F
9178,192.5(B),VEH MNSL W/VES W/O GR NEG,M
9202,192.5(B),VEH MNSL W/VES W/O GR NEG,F
9179,192.5(C),V/MNSL:VES:ALC/DRG:NO NEG,F
9203,192.5(C),V/MNSL:VESS WITH/GRS NEGL,F
9204,192.5(C),VEH MNSL:VES W/GROS NEGL,M
9205,192.5(D),VEH MNSL:VESS:W/O GRS NEG,M
13005,203,MAYHEM,F
13129,205,AGGRAVATED MAYHEM,F
13142,206,TORTURE,F
10016,207(A),KIDNAPPING,F
10017,207(B),KIDNAP -14 TO COM L&L,F
10019,207(C),KIDNAP:FORC/ETC:TAKE O/ST,F
10022,207(D),KIDNAP:FORC/ETC:INTO CA,F
10021,208(B),KIDNAP CHILD UNDER 14 YRS,F
10011,209(A),KIDNAPPING FOR RANSOM,F
10028,209(B)(1),KIDNAP TO COMMIT RAPE,F
10029,209(B)(1),KIDNAP TO COMMIT ROBBERY,F
10024,209.5(A),KIDNAP DURING CARJACKING,F
10026,209.5(B),KIDNAP/CARJACK:VICT MOVED,F
21004,210,POSE AS KIDNAPPER:EXTORT,F
56023,210.5,USE PERSON AS SHIELD,F
12004,211,ROBBERY,F
12017,211,ROBBERY:FIRST DEGREE,F
12018,211,ROBBERY:SECOND DEGREE,F
12040,211,ROBBERY 1ST DEG HOME INV,F
12007,212,FEAR AS ELEMENT ROBBERY,F
26048,212(A),NONNEGOTABLE PAYMENT WAGE,M
12032,212.5,ROBBERY,F
12030,212.5(A),ROB:1ST DEG:CAB/ETC/DWELL,F
12035,212.5(B),ROB:FIRST DEGREE:ATM/ETC,F
12036,212.5(C),ROBBERY:SECOND DEGREE,F
50118,213,CONTEMPT OF COURT:JUV/ETC,M
12039,213(A)(1)(A),ROB 1:INHAB DWELL:CONCERT,F
12033,213(A)(2),ROBBERY:SECOND DEGREE,F
12011,214,TRAIN ROBBERY,F
50127,214,FTA JUV COURT/ETC:PROMISE,M
23131,215(A),CARJACKING,F
26049,216(A),REFUSE TO PAY WAGES DUE,M
13109,217.1(A),ASSAULT PUBLIC OFFICIAL,F
13225,217.1(A),ASSAULT PUBLIC OFFICIAL,M
13110,217.1(B),ATT MURDER PUB OFCL,F
13010,218,ATTEMPT TRAIN WRECKING,F
13214,218.1,OBST/DAMAGE/DERAIL TRAIN,F
13215,218.1,OBSTR/DAMAGE/DERAIL TRAIN,M
13011,219,TRAIN WRECKING,F
13012,219.1,THROW OBJ:COM CARRIER VEH,F
13013,219.2,THROW OBJECT AT TRAIN,F
13119,219.2,THROW/ETC OBJECT AT TRAIN,M
13014,219.3,THROW OBJ FROM TOLL BRIDG,M
11004,220,ASSAULT:COMMIT RAPE,F
11005,220,ASSAULT TO COMMIT SODOMY,F
11030,220,ASLT:MAYHEM/RAPE/ETC,F
11063,220,ASLT:PENETRATE W/OBJECT,F
11064,220,ASSLT TO COMMIT ORAL COP,F
11065,220,ASLT:COMIT LEWD/LASC:CHLD,F
11068,220,ASLT:RAPE:CONCERT W/OTHER,F
11095,220,ASLT W/INT COMT RAPE/ETC,F
13016,220,ASSAULT TO COMMIT MAYHEM,F
11091,220(A),ASLT:W/INTENT TO RAPE,F
11096,220(A)(1),ASSAULT:W/INTENT TO RAPE,F
11106,220(A)(2),ASSAULT:-18 W/INT TO RAPE,F
11092,220(B),ASLT:INTENT RAPE IN 459,F
13018,222,GIVE DRUGS AID IN FELONY,F
66133,225.5(A),VEND:HWY VISTA POINT/ETC,M
31142,226(A),FAIL FURNISH WAGE STATMNT,M
56008,236,FALSE IMPRISONMENT,M
56016,236,FALSE IMPRISONMENT,F
56020,236,FALSE IMPRISON W/VIOLENCE,F
56037,236.1(A),HUMAN TRAFFICKING/LABOR,F
56040,236.1(B),HMN TRAFF:DEPR PER LBRTY,F
56038,236.1(C),HUMAN TRAFFICKING/-18YRS,F
56027,237(A),FALSE IMPRISON:VIOL/ETC,F
56028,237(A),FALSE IMPRISONMENT,M
56029,237(B),IMPRISON:ELD/ETC:VIO/ETC,F
31293,238.1,FAIL OBEY STOP ORDER VIOL,M
13047,240,ASSAULT ON PERSON,M
13076,240,ASLT PO/EMERG PRSNL/ETC,M
13086,241(A),ASSAULT ON PERSON,M
13075,241(B),ASLT PO/EMERG PRSNL/ETC,M
13207,241(C),ASLT PO/FIREFIGHTER/ETC,M
13101,241.1,ASLT ON CUSTODIAL OFFICER,F
13194,241.1,ASLT ON CUSTODIAL OFFICER,M
13158,241.2(A),ASLT PRSN SCH/PARK PROP,M
13231,241.2(A)(1),ASSLT PERSON SCHOOL PROP,M
13171,241.3(A),ASLT PRSN:PUB TRANSP/ETC,M
13118,241.4,ASLT SCHOOL DISTRICT PO,F
13199,241.4,ASLT SCHOOL DISTRICT PO,M
13208,241.5(A),ASLT ON HIGHWAY WORKER,M
13146,241.6,ASLT ON SCHOOL EMPLOYEE,M
13159,241.7,ASSAULT ON JURORS,F
13045,242,BATTERY,M
13048,242,BATTERY ON PERSON,M
13161,242,BATT W/SERIOUS BODILY INJ,F
13173,242,BAT:SPOUSE/EX SP/DATE/ETC,M
13176,242,BATTERY,F
13179,242,BAT W/SERIOUS BODILY INJ,M
13183,242,BAT EMERGENCY PERSON/ETC,F
13184,242,BAT AGAINST PEACE OFFICER,F
13064,243,BATTERY,F
13082,243(A),BATTERY ON PERSON,M
13081,243(B),BATT PO/EMERG PRSNL/ETC,M
13226,243(C),BATTERY PO/ETC W/INJURY,F
13181,243(C)(1),BAT EMERGENCY PERSON/ETC,F
13195,243(C)(1),BATT EMERGENCY PERSON/ETC,M
13182,243(C)(2),BATTERY AGAINST PO,F
13200,243(C)(2),BATTERY AGAINST PO,M
13084,243(D),BATT W/SERIOUS BODILY INJ,F
13180,243(D),BATERY:SERIOUS BODILY INJ,M
13187,243(E),BATTERY:SPOUSE/ETC,M
13174,243(E)(1),BAT:SPOUSE/EX SP/DATE/ETC,M
13061,243.1,BATT ON CUSTODIAL OFFICER,F
13222,243.10(A),BATT AGNST MBR US FORCES,M
13223,243.15,BATTERY NONINMATE BY INMT,F
13224,243.15,BATTERY NOINMATE BY INMT,M
13152,243.2(A),BAT ON PRSN:SCH/PARK/ETC,M
13198,243.2(A)(1),BATT ON PRSN:SCH/HOSP/ETC,M
13203,243.25,BATT:ELDER/DEP ADULT,M
13166,243.3,BAT:TRNSPORT PRSNL/PASNGR,M
13167,243.3,BAT W/INJ:TRNS WRKR/PSNGR,F
13172,243.35(A),BATT PRSN:PUB TRANSP/ETC,M
11093,243.4,SEXUAL BATTERY,M
11049,243.4(A),SEXUAL BATTERY,F
11073,243.4(A),SEXUAL BATTERY,M
11051,243.4(B),SEX BAT:MEDICLY INST PRSN,F
11094,243.4(B),SEX BATT:MED INST PERSON,M
11081,243.4(C),SEXUAL BATT:UNCONS PERSON,F
11082,243.4(C),SEXUAL BATT:UNCONS PERSON,M
11053,243.4(D),SEXUAL BATT:SEX AROUSAL,M
11083,243.4(D),SEXUAL BATT:SEX AROUSAL,F
11084,243.4(E)(1),SEXUAL BATT:SEX AROUSAL,M
11090,243.4(J),SEXUAL BATT:W/PR FEL CONV,F
13135,243.6,BATT ON SCHOOL EMPLOYEE,M
13136,243.6,BATT ON SCHOOL EMP W/INJ,F
13209,243.65(A),BATT ON HIGHWAY WORKER,M
13170,243.7,BATTERY AGAINST JUROR/ETC,F
13168,243.8(A),BATT AGAINST SPORTS OFCL,M
13227,243.83(A),UNLAW COND AT PRO SPORTS,I
13191,243.9(A),BATT/GASSING PO/ETC EMP,M
13192,243.9(A),BATT/GASSING PO/ETC EMP,F
13029,244,ASLT W/CAUSTIC CHEM/ETC,F
13127,244.5(B),ASSAULT W/STUN GUN/TASER,F
13210,244.5(B),ASLT W/STUN GUN/LL WEAPON,F
13211,244.5(B),ASLT W/STUN GUN/LL WPN,M
13145,244.5(C),ASLT PO W/STUN GUN/TASER,F
13212,244.5(C),ASLT PO W/STUN GUN/LL WPN,F
13213,244.5(C),ASLT PO W/STUN GUN/LL WPN,M
13094,245(A)(1),FORCE/ADW NOT FIREARM:GBI,F
13175,245(A)(1),FORCE/ADW-NOT FIREARM:GBI,M
13219,245(A)(1),ADW NOT FIREARM,F
13220,245(A)(1),ADW NOT FIREARM,M
13095,245(A)(2),ASLT W/FIREARM ON PERSON,F
13201,245(A)(2),ASLT W/FIREARM ON PERSON,M
