CDS.Code,Offense.Description,Offense.Level
44047,IMPERSON STATE DEPUTY/ETC,M
44088,FLS DEPUTY/ETC ARREST/DTN,M
44089,FLS DEPUTY/ETC INTIMIDATE,M
44090,FLS DEPUTY/ETC SRCH PERSN,M
44091,FLS DEPUTY/ETC OBT MONEY,M
44092,FLS PUB OFCR ARREST/DETN,M
44072,IMP PUB OFCR/ETC:INTIMIDA,M
44094,FLS PUB OFCR INTIM PERSON,M
44096,FLS PUB OFCR SEARCH PERSN,M
44098,FLS PUB OFCR OBTAIN MONEY,M
44005,REQ/ETC INFO GUIS GOV ENT,M
26006,ILLEGAL USE PO/ETC NAME,M
50011,SEL/ETC BAGE/ETC:FAV TRET,M
48090,DISCL PO/ETC ADR PH/NBR,M
48043,DISCLS/ETC PO/ETC ADR/ETC,M
48141,PO/ETC DISCLOSE INFO,M
48142,PO/ETC SOLICITS:EXCH INFO,M
48153,SOLICT PO/ETC FINAN GAIN,M
48143,PO/ETC SOLICIT:SELL PHOTO,M
48154,SOLICT PO/ETC DISCL PHOTO,M
56006,INHUMANITY TO PRISONERS,M
48122,OBSTRUCT/ETC PUB OFCR/ETC,M
48132,OBSTR/ETC PUB OFC:RADIO,M
48123,TAKE PO/ETC WPN:NON-F/ARM,M
48124,ATT REM/ETC PO/ETC F/ARM,M
53129,FALSE BOMB/ETC RPT:PO/ETC,M
53147,FALSE BOMB REPORT ON DUTY,M
53148,FALSE BOMB REPORT,M
53149,GIVE/PLACE/ETC FALSE BOMB,M
48138,RESIST PO:CAUSE DEATH/SBI,M
48155,DISOBEY FIREMAN/PO ORDERS,M
48156,DISORD CONDUCT AT FIRE,M
48157,PRVNT ASSTNC EXTNGSH FIRE,M
48028,INTRFER/ETC:FIREMAN/RESCR,M
48029,DISOBEY ORDR OF F/MAN/ETC,M
48030,DLAY/PRVNT FIRE EXTNGUISH,M
48031,PREVENT FIRE ASSISTANCE,M
53059,FALSE REPORT EMERGENCY,M
53116,TAMPER/ETC W/FIREALRM/ETC,M
53086,SEND/ETC FALSE FIRE ALARM,M
53104,FALSE CRIME:TO SPEC PO'S,M
53105,FALS RPT CRIME:SPEC PO,M
53110,FLS RPT CRIME:LAW ENF EMP,M
53126,FLS RPT CRIME:GRAND JURY,M
53146,FLS RPT F/A LOST:LE EMP,M
48099,FALSE ALEGE:PO MISCONDUCT,M
48100,FALSE CLAIM/LEIN AGNST PO,M
44006,IMPRSNATE:SRV OTHRS SENT,M
48077,FALSE ID TO SPECIFIC PO'S,M
48079,FALSE ID TO SPECIFIC PO,M
13221,ASSAULT BY PUBLIC OFFICER,M
48015,REFUSE TO AID OFFICER,M
9134,ADVOCATE INJ PO W/O INJ,M
66123,CONCL/ETC ACCIDENTL DEATH,M
50145,FAIL RPT CRIM AGST CHILD,M
48016,COMP/CNCEL CRIM:TAK $/ETC,M
26339,DBTR HID/ETC PROP:DEF/ETC,M
26341,DEFN HID/ETC PROP:DEF/ETC,M
26646,SELL/ETC PROP AVOID RESTN,M
50012,COMMON BARRATRY,M
31247,BAIL SRVS:SOLICITATION,M
50103,CNTMPT:CRT:DISRD/ETC BEHV,M
50187,CONTEMPT:VIOL GANG INJUNC,M
50104,CONTEMPT:PRESENCE OF JURY,M
50105,CONTEMPT:BREACH OF PEACE,M
50106,CONTEMPT:DISOBEY CRT ORDR,M
50107,CONTEMPT:RESIST ORDER/ETC,M
50108,CONTEMPT:REFUSE TO SWEAR,M
50183,CONTEMPT:JUROR DISOBEY,M
50109,CONTEMPT:PUB FLS/ETC RPT,M
50184,CONTEMPT:REFUSE TO SWEAR,M
50110,CONTEMPT:INFLUENCE SENT,M
50185,CONTEMPT:PUB FLS/ETC RPT,M
50174,CONTEMPT:VIOL GANG INJUNC,M
50186,CONTEMPT:INFLUENCE SENT,M
50166,CNTEMPT OF COURT:PR 646.9,M
50112,CONTEMPT:VIOL PROTECT ORD,M
50125,VIO PROT ORDER:DOMES:W/PR,M
50150,VIO PROT ORD:W/FIREARM,M
50022,RECORD JURY DELIBERATION,M
50024,PICKT COURTHSE IMPDE JUST,M
57004,OBTAIN WARRANT W/O CAUSE,M
48017,COMMUN W/REFORM INMATE,M
52349,POS IN AIRPORT:FIREARM,M
52358,POS IN AIRPORT:STUN GUN,M
52359,POS AIRPORT:PROJECTLE WPN,M
52360,POS IN AIRPORT:AMMUNITION,M
52350,POSSESS IN AIRPORT:KNIFE,M
52351,POS IN AIRPORT:BOX CUTTER,M
52352,POS IN AIRPRT:HND GRENADE,M
52353,POS AIRPRT:RPLCA GRENADE,M
52354,POS AIRPRT:PLSTIC GRENADE,M
52355,POS AIRPRT:REPLICA F/ARM,M
52356,POS AIRPRT:FRAME OF F/ARM,M
52357,POS AIRPRT:TEAR GAS WPN,M
52681,POSS WPN STERIL TRNST FAC,M
52682,POSS/ETC F/ARM: PUB BLDG,M
52649,POSS DEADLY WPN:PUB BLDG,M
52683,POSS/ETC KNIFE: PUB BLDG,M
52312,POSS/ETC TEARGAS:PUB BLDG,M
52305,POS/ETC TAZER/STUNGUN:BLD,M
52419,POSS/ETC BB/PELLET:PUBBLD,M
52685,LOADED FIREARM ST CAPITOL,M
52686,POSS WEAPON ST CAPITOL,M
52384,LOADED GUN:ST OFCR RESDNC,M
52386,LOADED GUN:ST OFCR RES GR,M
53012,REMAIN IN LEGIS CHAMBER,M
53013,DISRUPT STATE CAPITOL BUS,M
41080,SELL LIQUOR NEAR PRISON,M
41004,SELL LIQ NEAR UNIVERSITY,M
41005,SELL LIQUOR NEAR UCLA,M
41006,SELL LIQ NEAR UC RIVERSDE,M
41007,SELL LIQ NR CRTN COLL/UNV,M
41009,SELL LIQ NR CLAREMNT COLL,M
3004,IMPORT FOREIGN CONVICTS,M
46038,CONSPIRACY:COMMIT CRIME,M
46044,CONSP: FALSE INDICTMENT,M
46045,CONSP: FLS MAINTAIN SUIT,M
26596,CONSPIRACY/DEFRAUD/PROP,M
46046,CONSP: INJUROIUS TO PUB,M
46047,CONSP COMMIT FEL GANG ACT,M
48018,WEAR MASK UNLAWFL PURPOSE,M
47006,MONEY LAUNDERING,M
66107,PARTICIPATE:CRIME ST GANG,M
66130,CRIM ST GANG:PUB OFF CONV,M
66121,MNR COERC/ETC MNR:ST GANG,M
66105,SELL/ETC F/ARM:GANG ACTIV,M
66129,VIOL REG REQ:CRIM ST GANG,M
9199,VEH MANSL WHILE INTOXICAT,M
9200,VEH MANSL W/GROSS NEGLNCE,M
9151,VEH MANSL W/O GROSS NEG,M
9178,VEH MNSL W/VES W/O GR NEG,M
9204,VEH MNSL:VES W/GROS NEGL,M
9205,VEH MNSL:VESS:W/O GRS NEG,M
26048,NONNEGOTABLE PAYMENT WAGE,M
50118,CONTEMPT OF COURT:JUV/ETC,M
50127,FTA JUV COURT/ETC:PROMISE,M
26049,REFUSE TO PAY WAGES DUE,M
13225,ASSAULT PUBLIC OFFICIAL,M
13215,OBSTR/DAMAGE/DERAIL TRAIN,M
13119,THROW/ETC OBJECT AT TRAIN,M
13014,THROW OBJ FROM TOLL BRIDG,M
66133,VEND:HWY VISTA POINT/ETC,M
31142,FAIL FURNISH WAGE STATMNT,M
56008,FALSE IMPRISONMENT,M
56028,FALSE IMPRISONMENT,M
31293,FAIL OBEY STOP ORDER VIOL,M
13047,ASSAULT ON PERSON,M
13076,ASLT PO/EMERG PRSNL/ETC,M
13086,ASSAULT ON PERSON,M
13075,ASLT PO/EMERG PRSNL/ETC,M
13207,ASLT PO/FIREFIGHTER/ETC,M
13194,ASLT ON CUSTODIAL OFFICER,M
13158,ASLT PRSN SCH/PARK PROP,M
13231,ASSLT PERSON SCHOOL PROP,M
13171,ASLT PRSN:PUB TRANSP/ETC,M
13199,ASLT SCHOOL DISTRICT PO,M
13208,ASLT ON HIGHWAY WORKER,M
13146,ASLT ON SCHOOL EMPLOYEE,M
13045,BATTERY,M
13048,BATTERY ON PERSON,M
13173,BAT:SPOUSE/EX SP/DATE/ETC,M
13179,BAT W/SERIOUS BODILY INJ,M
13082,BATTERY ON PERSON,M
13081,BATT PO/EMERG PRSNL/ETC,M
13195,BATT EMERGENCY PERSON/ETC,M
13200,BATTERY AGAINST PO,M
13180,BATERY:SERIOUS BODILY INJ,M
13187,BATTERY:SPOUSE/ETC,M
13174,BAT:SPOUSE/EX SP/DATE/ETC,M
13222,BATT AGNST MBR US FORCES,M
13224,BATTERY NOINMATE BY INMT,M
13152,BAT ON PRSN:SCH/PARK/ETC,M
13198,BATT ON PRSN:SCH/HOSP/ETC,M
13203,BATT:ELDER/DEP ADULT,M
13166,BAT:TRNSPORT PRSNL/PASNGR,M
13172,BATT PRSN:PUB TRANSP/ETC,M
11093,SEXUAL BATTERY,M
11073,SEXUAL BATTERY,M
11094,SEX BATT:MED INST PERSON,M
11082,SEXUAL BATT:UNCONS PERSON,M
11053,SEXUAL BATT:SEX AROUSAL,M
11084,SEXUAL BATT:SEX AROUSAL,M
13135,BATT ON SCHOOL EMPLOYEE,M
13209,BATT ON HIGHWAY WORKER,M
13168,BATT AGAINST SPORTS OFCL,M
13227,UNLAW COND AT PRO SPORTS,I
13191,BATT/GASSING PO/ETC EMP,M
13211,ASLT W/STUN GUN/LL WPN,M
13213,ASLT PO W/STUN GUN/LL WPN,M
13175,FORCE/ADW-NOT FIREARM:GBI,M
13220,ADW NOT FIREARM,M
13201,ASLT W/FIREARM ON PERSON,M
13218,ADW/FORCE:POSSIBLE GBI,M
13228,ASSLT SCHL EMP W/STUN GUN,M
66155,HAZING:WITHOUT SBI,M
66157,HAZING:RESULT DEATH/SBI,M
13193,SHOOT:INHAB DWELL/VEH/ETC,M
52295,SHOOT FIREARM NEGLIGENTLY,M
52388,WIL DISCH F/ARM W/GRS NEG,M
52389,DISCH BB DEVICE:GRS NEGL,M
13189,DISCH LASER:OCC AIRCRAFT,M
13186,IMPAIR AIRCRAFT:LIGHT/ETC,M
36094,SEX W/MINOR:+ OR - 3 YRS,M
36096,SEX W/MINOR:SPEC CIRC,M
36095,SEX W/MINOR -16:PERP 21+,M
40049,ENTICE MINOR FEM:PROSTITU,M
40055,ENTICE MNR FOR PROST/ETC,M
36248,NDUCE SEX/ACT:FLS REP/ETC,M
38004,FAILURE TO PROVIDE,M
38079,PARENT:CHRONIC TRUANT:ATT,M
38065,PARNT RFUSE MNR SHLTR/ETC,M
50152,VIOL CRT ORD:SPOUSE SUPRT,M
38023,FAIL PROVIDE FOR SPOUSE,M
38006,FAIL PROVIDE FOR PARENTS,M
38086,DSRT W/INT TO ABANDON -14,M
38071,ABANDON CHILD UNDER 14YRS,M
43004,CONTRIB TO DELINQ OF MINR,M
43042,CONTRIB DELINQUENCY MINOR,M
43043,CDM:ADULT STRNGR LURE MNR,M
43048,CDM ADLT STRNGR LR MNR-14,I
38021,ILLEGAL PAY FOR ADOPTION,M
38056,REC BENE:INCOMPLET ADOPTN,M
38054,MULTIPLE PAY:ADOPTION,M
38064,CORP INJ ON SPOUSE/COHAB,M
38081,CRPL INJ:SPOUS/COHAB/DATE,M
38083,INF INJ:SPS/ETC W/PR ASLT,M
38084,INF INJ:SPS W/PR SPS BAT,M
50084,VIO ORD:PREVNT DOMES VIOL,M
50114,VIO DOM VIO CRT ORD:P/INJ,M
50146,DOMESTIC VIOLENCE W/PRIOR,M
50173,DSOBEY DOM REL CRT ORD/PR,M
38072,VIOL PROTECTIVE ORDER:MNR,M
38087,VIOL PROT ORD MNR W/INJ,M
50115,DISCLS LOC DOM VIOL SHLTR,M
38010,WILLFUL CRUELTY TO CHILD,M
38067,CRUEL TO CHLD:POS INJ/DTH,M
38059,WILLFUL CRUELTY TO CHILD,M
38070,INFLICT INJ/ETC ON CHILD,M
43005,MINOR IN IMPROPER PLACE,M
43006,MINOR IN IMMORAL PLACE,M
43007,IMMORAL ACTS BEFORE CHILD,M
43045,PUBLISH INFO DEPICT CHILD,M
10030,CHILD STEALING,M
38030,VIOLATION CUSTODY DECREE,M
38044,CONC/ETC ADOPTBL CHILD:CA,M
38089,CONCL ADPTBL CHILD OOS,M
38090,BIGAMY,M
36249,SODOMY W/PERSON UNDER 18,M
36250,SDMY:WHILE IN PRISON/JAIL,M
36255,SDMY:VIC/DEF IN MNTL INST,M
11026,SEXUAL ASSAULT ON ANIMAL,M
11107,SEXUAL CONTACT W/ANIMAL,M
36299,ORAL COPULATION:-18 YRS,M
36312,ORAL COP:IN PRISON/JAIL,M
36316,ORAL COP:VIC IN STATE HOS,M
36150,L&L ACTS W/CHILD:AGE SPEC,M
36151,L&L W/DEP ADLT BY CARETKR,M
37069,SEND/ETC HRMFL:MNR:SEDUCE,M
37104,HRMF MAT SENT:SEX INT MNR,M
37106,HRMFL MAT SENT:SEDUCE MNR,M
37074,HARMF MAT:EMAIL/ETC:MNR,M
37096,CONT MNR W/INT SEX:290.46,M
37097,CONT MNR W/INT SEX:290.46,M
37098,CONTACT MNR W/INTENT SEX,M
36212,ARRANGE MTG W/MINOR,M
36138,ORAL COP:PERSON UNDER 18,M
36149,ORAL COP:IN PRISON/JAIL,M
36256,ORAL COP:VIC IN STATE HOS,M
36257,SEX PEN:NO CNSENT:MENTAL,M
36258,SEX PENETRATION:VIC -18YR,M
36324,FLEE TO CA TO AVD SEX OFF,M
36101,EMP:HAV SEX:CONF CONS ADL,M
36325,OFCR SEX W/CONF CONS ADLT,M
36244,ENGAGING SEX ACT W/INMATE,M
89005,REGISTRATION OF SEX OFNDR,X
36085,SEX OFFENDER FAIL TO REG,M
36129,FAIL REG/CHG ADD:SEX OFF,M
36169,REG FAIL RPT CONCURNT ADD,M
36137,TRANSNT SEX OFF FAIL UPD,M
36139,F/REG/SEX OFF:ANNUAL UPD,M
36190,290 VIOL SVP 90 DY UPDTE,M
36192,290 VIOL OOS WK/STU IN CA,M
89105,COURT ORDER REGISTRATION,X
36216,FAIL REG/CHG ADD:SEX OFF,M
89104,PREREG OF SEX OFFENDER,X
36182,FAIL REG/REREGS:AFTR RELS,M
36194,290 VIOL POST INC,M
36123,ADD CHG:SEX REG FAIL RPT,M
36125,FAIL RPT NAME CHG:SEX REG,M
36184,SEX REG FAIL RPT NAME CHG,M
36086,SEX OFFENDER FAIL REG/ETC,M
36186,SEX VIOL PRDTOR F/VRF REG,M
36196,290 VIOL SVP 90 DY UPDTE,M
36128,TRANSNT SEX REG NOT UPDAT,M
36198,290 VIOL TRAN 30 DY UPDTE,M
36161,SX REG:FAL PRVD PRF RESID,M
36187,FT/PRVD REQ REG INFO DOJ,M
36200,290 VIOL INFO OTH/T G1/G2,M
36204,290 VIOL OOS WK/STU IN CA,M
89108,REG:RELEAS AFTER 07011944,X
36263,REG:CONVICTED OOS REQ OFF,M
36261,290 VIOL:SEXUAL GRAT/COMP,M
36276,CRT ORDR REG/FND:SEX GRAT,M
89109,REG:DUTY TO REG ON CAMPUS,X
36160,FT REG:EMP/ETC REG UNV PD,M
36145,FT REG:EMP/ETC REG CTY PD,M
36218,REG FAIL RPT CONCURNT ADD,M
36219,TRAN FAIL 30 DAY UPDATE,M
36221,TRAN FAIL REG RLS CUSTODY,M
36223,FAIL REG GAIN/LV RESID,M
36225,TRAN FAIL ANNUAL UPD,M
36227,TRAN FAIL PRVD FORMS INFO,M
36229,TRAN FAIL RPT OOS MOVE,M
36231,SX OFF FAIL ANNUAL UPDATE,M
36202,SVP FAIL 90 DAY UPDATE,M
36233,TRAN FAIL 30 DAY UPDATE,M
36235,SEX REG FAIL RPT ADD CHG,M
36237,SEX REG FAIL RPT NAME CHG,M
36206,290 VIOL POST INCARC,M
89107,PREREG OF SEX OFFENDER,X
36238,SEX OFFENDER FAIL REG/ETC,M
36240,MDSO FAIL TO REG,M
36208,290 VIOL SVP 90 DY UPDTE,M
36210,290 VIOL TRAN 30 DY UPDTE,M
36242,REG FAIL PRVD PROOF RESID,M
36211,FAIL PRVD REQD REG INFO,M
28033,COPY/ETC SEX OFFENDR DATA,M
28034,REM/ETC SEX OFFENDER DATA,M
89106,REG SEX OFF:ENTER WEBSITE,M
36289,SEX REG PAROLE:PROOF REG,M
36296,FAIL RPT SEX REG STATUS,M
50134,FAIL/ETC GIVE DNA/PRINTS,M
50158,KNOWN DISCLOSE DNA INFO,M
29108,SINK/ETC/SET ADRIFT VES,M
29116,INJURE/ETC 10 TON+ VESSEL,M
53100,DISTURB RELIGIOUS MEETING,M
53113,DISTURB RELIGIOUS MEETING,M
41010,LIQUOR SALES VIOLATION,M
41011,SOLICIT LIQUOR PURCHASE,M
29092,MOOR VESSEL/DAMAGE BUOY,M
43040,SELL/ETC CAKE/ETC:ALC:MNR,M
29160,MOOR A VESSEL TO BUOY/ETC,I
29161,REMOVE/DAMAGE BUOY/ETC,M
29119,MOOR/DMAGE FEDRL BUOY/ETC,M
43036,FURN/ETC MNR W/TOBACO/ETC,M
43046,KNWLY FURN MNR W/TABACCO,M
31300,FURNISH -21 YRS W/TOBACCO,M
8041,MNR BUY SMOKING PARAPHNAL,I
8034,MNR BUY SMOKING PARAPHERN,I
31216,FAIL TO POST NOTICE REQ,M
31222,SELL/ETC BIDIS/BEEDIES,M
31221,SELL IMPRPLY SEAL/ETC CIG,I
31310,MFG/SELL CIG PACK LESS 20,I
31251,ALC/TOBC ADV IN VIDEO GAM,M
55178,DIST UNSOLICITED TOBACCO,M
43009,KEEP MINOR IN BROTHEL,M
8005,MINOR ATTEND PRIZEFIGHT,M
8045,MINOR ATTEND BIRD FIGHT,M
55164,GIVE/ETC DIURETIC/ETC:MNR,M
36107,GARD/PERP CNTRACT SEX:MNR,M
37075,SEND/SELL/ETC OBS MTR:MNR,M
37101,ADV OBSCN MTR DEPIC MNR,M
37089,ADV OBSCN MTR DEPIC MINOR,M
37061,POSS/ETC OBS MTR:MNR:SEX,M
37108,OBSCN IMAGS:MNR SEX ACT,M
37110,OBSCN MAT:MNR SEX SADISM,M
37018,SEND/POS/ETC OBSCEN MATER,M
37031,OBSCEN MATR OF MNR TO MNR,M
37065,SEX EXP CHILD:DEPICT SEX,M
37078,SEX EXPLOIT MNR:SEX ACT,M
37079,SEX EXP MNR:SEX INTERCRSE,M
37080,SEX EXP MNR:PEN W/FRN OBJ,M
37081,SEX EXP MNR:MASTURBATION,M
37082,SEX EXP MNR:SADOMAS ABUSE,M
37083,SEX EXP MNR:EXHIB GENITAL,M
37084,SEX EXP MNR:DEFECATION,M
37020,USE/ETC MNR:OBSCENE MATER,M
37011,ADV/ETC OBSCENE MATTER,M
37013,OBSCENE LIVE CONDUCT:PUB,M
37014,MAKE DLR BUY OBSCN MTR,M
37036,SELL HARMFUL MATTER MNR,M
37017,FAK PARENT:MNR SEE H/MATR,M
37064,HARM MTR:PUB VEND MACHINE,M
37067,HARM MTR:UNSUP VEND MACH,M
37076,HARMF MATR:ADLT ONLY AREA,I
37077,HARMF MATR:ADLT ONLY AREA,M
36018,INDECENT EXPOSURE,M
36019,ASSIST INDECENT EXPOSURE,M
40013,KEEP HOUSE OF ILL FAME,M
40014,KEEP DISORDERLY HOUSE,M
40015,VISIT FOR GAMBLING/PROST,M
39004,LOTTERY,M
39005,DRAWING LOTTERY,M
39006,SELL LOTTERY TICKETS,M
39007,AID LOTTERIES,M
39008,KEEP/AD LOTTERY OFFICE,M
39009,INSURE LOTTERY TICKETS,M
39010,LET BUILDING FOR LOTTERY,M
39042,REC/PAY BINGO GM WAGE/ETC,M
39043,BINGO PRIZE EXCEEDS MAX,M
39012,GAMBLING,M
39016,MFG/SELL/POSS GAMING DEV,M
39017,POSS/CONTROL SLOT MACHINE,M
39013,POSS/CONTROL SLOT MACHINE,M
39079,MFG/SELL SLOT MACHINE,M
39015,PUNCHBOARDS,M
39018,PERMIT GAMBLING IN HOUSE,M
26303,OBT MON:FRAUD:CARDS/ETC,M
50025,WITNESS FTA AT TRIAL,M
39038,HIDDEN DEVICE TO DEFRAUD,M
39050,MFG/ETC MECH DEV:DEFRAUD,M
39051,OWN/OPR RAZZLE-DAZZL GAME,M
39019,FAIL ENFORCE GAMING LAWS,M
43011,LET MNR GAMBLE IN SALOON,M
39076,PARTICIPATES BETTING POOL,I
39032,TOUTING,M
39033,TOUTING/ATTEMPT TOUTING,M
39035,TOUT REFUSE TO LV TRACK,M
39312,POOL SELLING/BOOKMAKING,M
39313,KEEP/ETC BOOKMAKING PLACE,M
39314,RCV/HOLD GAMBLING STAKES,M
39315,RECORD/REGISTER BET/WAGER,M
39316,PERMIT GAMBLING PREMISES,M
39317,LAY/MAKE/ACCEPT WAGERS,M
39067,BOOKMAKING W/PRIOR CONV,M
39077,BOOKMAKING W/PRIOR CONVIC,M
39071,CONSP STIMULATE RACEHORSE,M
39073,KNLY ENTER DRUG RACEHORSE,M
39075,ENTER RACEHORSE FICT NAME,M
39028,DRUG IN RACE INCLOSURE,M
39029,DRUG ANIMAL,M
39318,TRANSMIT HORSERACE RESLTS,M
39068,UNLAWFUL OPR CONTRLD GAME,M
39320,RCV COMP/REV CNTL GAME,M
39322,MFG/DIST/ETC GAMBL EQUIP,M
39324,PRMT CNTL GAME BLDG/ETC,M
39326,PRMT MFG/ETC GAMBL EQUIP,M
39328,ADVERT NONPARIMUTUEL WAGR,I
39329,ADV NONPARIMUT WAGR W/PR,M
39031,PLAY/ETC DRAW POKER,M
39055,ALTR OUTCOME GAMBLNG GAME,M
39056,ALTER WAGER:OUTCOME KNOWN,M
39057,CLAIM MONEY W/INT DEFRAUD,M
39058,ENTICE OTHER TO GAMBLE,M
39059,PLCE BET AFTER KNOW OUTCM,M
39060,CANCL BET AFTR KNOW OUTCM,M
39061,MANIPULATE WIT CHEAT GAME,M
39062,POS DEVICE:DET OUTCM GAME,M
39063,UNLWFL USE COUNTRFT CHIPS,M
39330,KNWNGLY USE UNAPPRVD CHIP,M
39331,"POSS DVC VIOL 337U,V,X,Y",M
39332,POSS DVC OPEN/ETC GAME,M
39333,POSS PARAPH FOR MFG SLUGS,M
39064,UNLWFL:CHEAT GAMBNG ESTAB,M
39065,UNLWFL MFG PROHIB DEVICE,M
39066,UNLWFL MARK GAME DEVICE,M
39334,INSTRCT OTHER IN CHEATING,M
31004,FAIL SHOW GLD BULLION REC,M
53084,TICKET SCALPING,M
55297,FALSE RPRT POISON IN FOOD,M
55005,POISONOUS ALCOHOL,M
25054,MFG/SELL COUNTERFEIT MARK,M
25100,MFG/SEL -1000:COUNTRFT MK,M
25101,MFG/SEL 1000+ COUNTRFT MK,M
25110,MFG/SELL COUNTRFT MK W/PR,M
26013,SALE OF GOODS VIOLATION,M
23006,DEFACE MARKS,M
23007,DEFACE MARK ON LUMBER,M
50026,SOLEMNIZE INCEST MARRIAGE,M
50027,PERFORM ILLEGAL MARRIAGE,M
50028,HABEAS CORPUS VIOLATION,M
50029,HABEAS CORPUS VIOLATION,M
50030,HIDE PERSON:HABEAS CORPUS,M
56011,INNKEEPER REFUSE GUEST,M
55258,VIOL PUB CONVEY:DISAB/DOG,M
55259,OBSTRUCT SERVICE DOG/USER,M
26366,FLS REP OWN GUIDE/ETC DOG,M
55225,ELDER/DEP ADLT:HARM/DEATH,M
55226,ELDER/DEP ADULT CRUELTY,M
55228,THFT ELDER/DEP ADLT -$400,M
55294,THFT ELDER/DEP ADLT -$950,M
55230,THEFT:ELD/ETC BY CARETAKR,M
32116,LEAVE RAILROAD GATE OPEN,M
32076,DRIVE/RIDE/ETC RR TRACK,M
32117,DRV VEH ON RLRD W/O AUTH,M
55006,ERECT SIGN:MISLEAD RR EMP,M
32077,TRESPASS:RAILROAD PROPRTY,M
32081,TRESPAS:RAIL TRANSIT PROP,M
55007,PUBLIC NUISANCE,M
55008,MAINTAIN PUBLIC NUISANCE,M
55010,MAINTAIN NUISANCE AFT NOT,M
55124,DUMP/ETC SUB IN SEWER,M
55217,DUMP WASTE/ROCKS/ETC,I
55250,DUMP WASTE:OFFENSE MATTER,I
55274,DUMPING:PUB/PRIV:NO CNST,I
55184,DUMP/ETC WASTE:COMRCL AMT,M
55103,LITTER PUB/PRIVATE PROP,I
55207,LITER PUBLIC/PRIVATE PROP,I
55211,LIT:HEALTH/SAFETY/ETC HAZ,I
55301,DUMP GREASE WASTE IN TRAP,M
55286,DUMP GREASE WASTE:WATER,M
55119,LITTER WATERS OR SHORE,M
55128,DUMP HAZRD:ROAD/WATER/ETC,M
55013,SHOOT ON PUBLIC ROAD,M
55014,LEAVE DEAD ANIMAL,M
55085,OFFENSIVE SUB:PUB PLACE,M
55088,POSS OFFENSIVE MTR TO USE,M
44007,IMPERSONATE TO GET DRUGS,M
55270,SELL/ETC SALVINORIN TO-18,M
35234,SELL TOLUENE PRSN UND 18,M
35216,POSSESS/ETC TOLUENE/ETC,M
