AGENCY_NAME,Offense.Description,Offense.Level,TOTAL,UNDER_18_COUNT,EIGHTEEN_TWENTYNINE_COUNT,THIRTY_PLUS_COUNT
"CHP-HQ A/C, STAFF",ARSON:PROPERTY,F,1,0,1,0
"CHP-HQ A/C, STAFF",ASAULT CHILD -8:GBI:DEATH,F,1,0,1,0
"CHP-HQ A/C, STAFF",ASLT PRSN:SEMIAUTO F/ARM,F,1,0,1,0
"CHP-HQ A/C, STAFF",ASLT W/FIREARM ON PERSON,F,1,0,0,1
"CHP-HQ A/C, STAFF",ASSULT CHILD -8:GBI:DEATH,F,1,0,1,0
"CHP-HQ A/C, STAFF",BAT EMERGENCY PERSON/ETC,F,1,0,0,1
"CHP-HQ A/C, STAFF",BATT W/SERIOUS BODILY INJ,F,4,0,2,2
"CHP-HQ A/C, STAFF",BATTERY,F,15,0,5,10
"CHP-HQ A/C, STAFF",BATTERY AGAINST PO,F,3,0,3,0
"CHP-HQ A/C, STAFF",BENCH WARRANT:FTA:FELONY,F,3,0,2,1
"CHP-HQ A/C, STAFF",BRING CNTL SUB/ETC JAIL,F,5,0,3,2
"CHP-HQ A/C, STAFF",BURGLARY,F,10,0,6,4
"CHP-HQ A/C, STAFF",BURGLARY:SECOND DEGREE,F,1,0,0,1
"CHP-HQ A/C, STAFF",C/LOADED F/ARM:PROHIB/ETC,F,4,0,4,0
"CHP-HQ A/C, STAFF",CARJACKING,F,3,0,1,2
"CHP-HQ A/C, STAFF",CARRY CONCEALED STLN WPN,F,1,0,0,1
"CHP-HQ A/C, STAFF",CARRY LOAD F/ARM:COMT FEL,F,2,0,1,1
"CHP-HQ A/C, STAFF",CARRY LOAD F/ARM:PR FEL,F,1,0,0,1
"CHP-HQ A/C, STAFF",CARRY STOLEN LOADED F/ARM,F,2,0,1,1
"CHP-HQ A/C, STAFF",CCW CRIM ST GANG:ACTIVE,F,1,0,1,0
"CHP-HQ A/C, STAFF",CCW IN VEH W/PR FEL CONV,F,1,0,1,0
"CHP-HQ A/C, STAFF",CHILD CRUELTY:POS INJ/DTH,F,6,0,1,5
"CHP-HQ A/C, STAFF",CONSPIRACY:COMMIT CRIME,F,1,0,1,0
"CHP-HQ A/C, STAFF",CONV PERSN POSS/ETC F/ARM,F,1,0,0,1
"CHP-HQ A/C, STAFF",CRPL INJ:SPOUS/COHAB/DATE,F,45,0,20,25
"CHP-HQ A/C, STAFF",CRRY LOAD F/ARM:PUB:S/CIR,F,8,0,6,2
"CHP-HQ A/C, STAFF",CRRY LOAD H/GUN:NOT OWNER,F,4,0,3,1
"CHP-HQ A/C, STAFF",DLR NOT DETERMIN OWNRSHIP,F,1,0,0,1
"CHP-HQ A/C, STAFF",DRIVE WRONG:HWY:INJ/DEATH,F,1,0,1,0
"CHP-HQ A/C, STAFF",DSTRCT DEVIC CAUSNG DEATH,F,1,0,1,0
"CHP-HQ A/C, STAFF",DUI .08 ALCOHOL:BODLY INJ,F,14,0,9,5
"CHP-HQ A/C, STAFF",DUI 0.08 W/PR:PER 23550VC,F,35,0,11,24
"CHP-HQ A/C, STAFF",DUI ALC/DRUG:CAUS BOD INJ,F,57,0,17,40
"CHP-HQ A/C, STAFF",DUI ALCOHOL/DRUG W/PRIORS,F,580,0,232,348
"CHP-HQ A/C, STAFF",DUI DRUG:CAUSE BODILY INJ,F,21,0,18,3
"CHP-HQ A/C, STAFF",DUI W/IN 10YRS:PR FEL DUI,F,1,0,1,0
"CHP-HQ A/C, STAFF",DUI W/PR SPEC CONVICTIONS,F,3,0,1,2
"CHP-HQ A/C, STAFF",EMPLOY IND -21 SELL MARIJ,F,1,0,1,0
"CHP-HQ A/C, STAFF",EVADE PO:WRONG WAY DRIVER,F,3,0,1,2
"CHP-HQ A/C, STAFF",EXH F/ARM PRES VEH OCCUPT,F,6,0,4,2
"CHP-HQ A/C, STAFF",FALSE BOMB/ETC REP:PO/ETC,F,1,0,0,1
"CHP-HQ A/C, STAFF",FALSE PERSONATE:SPEC CIRC,F,21,0,10,11
"CHP-HQ A/C, STAFF",FELON/ETC POSS/ETC F/ARM,F,28,0,12,16
"CHP-HQ A/C, STAFF",FORCE/ADW NOT FIREARM:GBI,F,7,0,2,5
"CHP-HQ A/C, STAFF",FORGE OFFICIAL SEAL,F,3,0,1,2
"CHP-HQ A/C, STAFF",FORGE/ALTER VEH REG/ETC,F,2,0,1,1
"CHP-HQ A/C, STAFF",FORGE/ETC HANDWRITING/ETC,F,1,0,1,0
"CHP-HQ A/C, STAFF",FORGERY,F,3,0,1,2
"CHP-HQ A/C, STAFF",FT/REG/ETC:FEL SEX OFF/PR,F,1,0,0,1
"CHP-HQ A/C, STAFF",FUG JUST:WARRANT ARREST,F,2,0,1,1
"CHP-HQ A/C, STAFF",GET CREDIT/ETC OTHER'S ID,F,6,0,3,3
"CHP-HQ A/C, STAFF",GR VEH MANSL WHILE INTOX,F,7,0,4,3
"CHP-HQ A/C, STAFF",GRAND THEFT,F,8,0,5,3
"CHP-HQ A/C, STAFF",GRAND THEFT FROM PERSON,F,1,0,0,1
"CHP-HQ A/C, STAFF",GRAND THEFT:AUTO,F,3,0,2,1
"CHP-HQ A/C, STAFF",GRDTHFT:MONEY/LABOR/PROP,F,2,0,0,2
"CHP-HQ A/C, STAFF",GROS VEH MNSL W/VES:INTOX,F,2,0,0,2
"CHP-HQ A/C, STAFF",HIT AND RUN:INJURY,F,2,0,0,2
"CHP-HQ A/C, STAFF",ILL FIREARM DISCH W/NEGL,F,1,0,0,1
"CHP-HQ A/C, STAFF",ILL POSS ASSAULT WPN,F,4,0,3,1
"CHP-HQ A/C, STAFF",IND EXP:ILL ENTR OCC DWEL,F,1,0,1,0
"CHP-HQ A/C, STAFF",INDECENT EXPOSURE W/PRIOR,F,1,0,0,1
"CHP-HQ A/C, STAFF",INF CORP INJ:SPOUSE/COHAB,F,21,0,7,14
"CHP-HQ A/C, STAFF",INF INJ:SPS/ETC W/PR ASLT,F,1,0,0,1
"CHP-HQ A/C, STAFF",INFLICT CRPL INJ SP/COHAB,F,27,0,14,13
"CHP-HQ A/C, STAFF",KIDNAP:FORC/ETC:INTO CA,F,2,0,1,1
"CHP-HQ A/C, STAFF",KIDNAPPING,F,2,0,2,0
"CHP-HQ A/C, STAFF",LOAD F/ARM:STATE CAP/ETC,F,1,0,0,1
"CHP-HQ A/C, STAFF",MAL SET/ETC FIRE PROP/ETC,F,1,0,0,1
"CHP-HQ A/C, STAFF",MFG/ETC LEADED CANE/ETC,F,3,0,2,1
"CHP-HQ A/C, STAFF",MFG/ETC SHORT-BARREL GUN,F,1,0,1,0
"CHP-HQ A/C, STAFF",MFG/SALE/ETC METAL KNUCKL,F,10,0,4,6
"CHP-HQ A/C, STAFF",MFG/SELL/ETC ASSAULT WPN,F,1,0,0,1
"CHP-HQ A/C, STAFF",MURDER,F,3,0,1,2
"CHP-HQ A/C, STAFF",MURDER:FIRST DEGREE,F,2,0,2,0
"CHP-HQ A/C, STAFF",MURDER:SECOND DEGREE,F,1,0,1,0
"CHP-HQ A/C, STAFF",OBSTRUCT/RESIST EXEC OFF,F,2,0,0,2
"CHP-HQ A/C, STAFF",OWN/ETC CHOP SHOP,F,3,0,2,1
"CHP-HQ A/C, STAFF",PEN:F/OBJ/ETC:VIC UNCONS,F,1,0,0,1
"CHP-HQ A/C, STAFF",PERJURY,F,2,0,0,2
"CHP-HQ A/C, STAFF",PERSNATE:MAKE OTHR LIABLE,F,6,0,1,5
"CHP-HQ A/C, STAFF",PERSNATE:RECORDED DOCUMNT,F,2,0,0,2
"CHP-HQ A/C, STAFF",PET THFT W/PR PT/GT BURG/,F,1,0,0,1
"CHP-HQ A/C, STAFF",PLANT/ETC MARIJUANA,F,1,0,0,1
"CHP-HQ A/C, STAFF",POS/ETC F/ARM:PR VIOL OFF,F,1,0,1,0
"CHP-HQ A/C, STAFF",POSS $ FROM SALE CNTL SUB,F,16,0,2,14
"CHP-HQ A/C, STAFF",POSS CNTL SUB FOR SALE,F,83,0,27,56
"CHP-HQ A/C, STAFF",POSS CONTROLLED SUBSTANCE,F,75,0,12,63
"CHP-HQ A/C, STAFF",POSS EXPLO:PUBLIC STREET,F,1,0,0,1
"CHP-HQ A/C, STAFF",POSS EXPLOSIVE ILLEGALLY,F,1,0,0,1
"CHP-HQ A/C, STAFF",POSS ID OF 10+ PRSN:WID,F,2,0,1,1
"CHP-HQ A/C, STAFF",POSS MARIJUANA FOR SALE,F,6,0,3,3
"CHP-HQ A/C, STAFF",POSS/PUR COKE BASE F/SALE,F,4,0,2,2
"CHP-HQ A/C, STAFF",POSS/RECEIVE CNTRFT COIN,F,1,0,1,0
"CHP-HQ A/C, STAFF",POSSESS NARCOTIC CNTL SUB,F,22,0,8,14
"CHP-HQ A/C, STAFF",POSSESS SILENCER,F,1,0,1,0
"CHP-HQ A/C, STAFF",POSSESS/ETC MACHINEGUN,F,1,0,1,0
"CHP-HQ A/C, STAFF",PROHIB OWN/ETC AMMO/ETC,F,2,0,1,1
"CHP-HQ A/C, STAFF",REC KNWN STOLN PROP,F,3,0,2,1
"CHP-HQ A/C, STAFF",REC/ETC/CNCL/ETC $+:C/SUB,F,5,0,2,3
"CHP-HQ A/C, STAFF",ROBBERY:FIRST DEGREE,F,4,0,1,3
"CHP-HQ A/C, STAFF",SELL MARIJUANA,F,1,0,1,0
"CHP-HQ A/C, STAFF",SELL/TRNSP/ETC MARIJUANA,F,2,0,2,0
"CHP-HQ A/C, STAFF",SHOOT:INHAB DWELL/VEH/ETC,F,1,0,1,0
"CHP-HQ A/C, STAFF",TAKE NON-FIREARM FROM PO,F,1,0,0,1
"CHP-HQ A/C, STAFF",TAKE ONCALL EMERG/ETC VEH,F,5,0,0,5
"CHP-HQ A/C, STAFF",THEFT,F,1,0,1,0
"CHP-HQ A/C, STAFF",THROW SUB AT VEH:INT:GBI,F,4,0,2,2
"CHP-HQ A/C, STAFF",THRTN CRIME:INT:TERRORIZE,F,6,0,0,6
"CHP-HQ A/C, STAFF",TRANSP/ETC CNTL SUB,F,19,0,7,12
"CHP-HQ A/C, STAFF",TRANSP/ETC F/SALE C/SUB,F,4,0,2,2
"CHP-HQ A/C, STAFF",TRANSP/SELL NARC/CNTL SUB,F,7,0,3,4
"CHP-HQ A/C, STAFF",TRNS/ETC/HID/ETC $+:C/SUB,F,1,0,1,0
"CHP-HQ A/C, STAFF",USE CNTL SUB:POSS FIREARM,F,12,0,2,10
"CHP-HQ A/C, STAFF",USE FALSE CITIZEN/ETC DOC,F,1,0,1,0
"CHP-HQ A/C, STAFF",USE/ETC CMPRTMNT:CNTL SUB,F,4,0,1,3
"CHP-HQ A/C, STAFF",UTER/ETC FAKE VEH REG/ETC,F,1,0,1,0
"CHP-HQ A/C, STAFF",VANDALISM:DEFACE PROPERTY,F,2,0,1,1
"CHP-HQ A/C, STAFF",VEH MANSL W/GROSS NEG,F,3,0,0,3
"CHP-HQ A/C, STAFF",VIOLATION OF PAROLE:FEL,F,12,0,1,11
"CHP-HQ A/C, STAFF",VOLUNTARY MANSLAUGHTER,F,1,0,1,0
"CHP-HQ A/C, STAFF",WIL DISCH F/ARM W/GRS NEG,F,1,0,0,1
"CHP-HQ A/C, STAFF",MINOR DRIVE W/BAC 0.05,I,8,3,5,0
"CHP-HQ A/C, STAFF",POSS MARIJUANA 28.5- GRMS,I,2,2,0,0
"CHP-HQ A/C, STAFF",DUI:-21,I,3,1,2,0
"CHP-HQ A/C, STAFF",PED FAIL OBEY TRAFIC SIGN,I,16,1,4,11
"CHP-HQ A/C, STAFF",SEATBELT VIOLATION,I,3,1,1,1
"CHP-HQ A/C, STAFF",CROSS FLARE/CONE PATTERN,I,4,0,4,0
"CHP-HQ A/C, STAFF",CULT MARIJ -6 PLANTS/-21,I,1,0,0,1
"CHP-HQ A/C, STAFF",DEFECTIVE WINDSHIELD/ETC,I,1,0,1,0
"CHP-HQ A/C, STAFF",DISOBEY TRAFFIC DIRECTION,I,1,0,0,1
"CHP-HQ A/C, STAFF",DISPLAY LIC PLATES WRONG,I,8,0,2,6
"CHP-HQ A/C, STAFF",DIV HWY:CROSS/U TURN VIOL,I,7,0,2,5
"CHP-HQ A/C, STAFF",DRIVE IN EXCESS 100 MPH,I,4,0,4,0
"CHP-HQ A/C, STAFF",DRIVE TOO SLOWLY/ETC,I,14,0,5,9
"CHP-HQ A/C, STAFF",DRIVE WITHOUT LIGHTS:DARK,I,4,0,2,2
"CHP-HQ A/C, STAFF",DRIVER FAIL OBEY SIGN/ETC,I,5,0,1,4
"CHP-HQ A/C, STAFF",DRNK ALC/MARIJ WHLE DRVNG,I,1,0,0,1
"CHP-HQ A/C, STAFF",DUI W/PROB:23152/23153,I,17,0,10,7
"CHP-HQ A/C, STAFF",DUI:UNDR 21YR W/BA.01,I,2,0,2,0
"CHP-HQ A/C, STAFF",ELE BEACON/CONE PATTERN,I,4,0,4,0
"CHP-HQ A/C, STAFF",EXC 55MPH SPEED:2 LANE RD,I,8,0,4,4
"CHP-HQ A/C, STAFF",EXCEED POSTED SPEED LIMIT,I,5,0,2,3
"CHP-HQ A/C, STAFF",EXCEED PRIMA FACIE SPEED,I,1,0,0,1
"CHP-HQ A/C, STAFF",EXCEED SPEED ON HIGHWAY,I,33,0,20,13
"CHP-HQ A/C, STAFF",EXPIRED TABS/FAIL DISPLAY,I,3,0,0,3
"CHP-HQ A/C, STAFF",EXPRS:SOLID YEL LINES VIO,I,2,0,0,2
"CHP-HQ A/C, STAFF",FAIL DIM BEAMS:FOLLOW VEH,I,1,0,1,0
"CHP-HQ A/C, STAFF",FAIL DRIVE RT HALF ROAD,I,4,0,2,2
"CHP-HQ A/C, STAFF",FAIL MAINT LIC PLATE LAMP,I,1,0,1,0
"CHP-HQ A/C, STAFF",FAIL MAINT VEH LITE EQUIP,I,7,0,4,3
"CHP-HQ A/C, STAFF",FAIL NOTE DMV ADD CHG:CDL,I,1,0,1,0
"CHP-HQ A/C, STAFF",FAIL OBEY TRAF LANE SIGN,I,2,0,2,0
"CHP-HQ A/C, STAFF",FAIL PROVE FIN RSP:PO REQ,I,1,0,1,0
"CHP-HQ A/C, STAFF",FAIL PRVENT MOVE:UNAT VEH,I,1,0,0,1
"CHP-HQ A/C, STAFF",FAIL STOP LINE/ETC AT RED,I,8,0,3,5
"CHP-HQ A/C, STAFF",FAIL STOP VEH:XWALK/ETC,I,9,0,5,4
"CHP-HQ A/C, STAFF",FAIL YEILD RIGHT-OF-WAY,I,2,0,2,0
"CHP-HQ A/C, STAFF",FAIL YIELD INTERSECT:HWY,I,2,0,2,0
"CHP-HQ A/C, STAFF",FAL CAUTION PASS EMGY VEH,I,1,0,1,0
"CHP-HQ A/C, STAFF",FOLOW TOO CLOSE:EMERG VEH,I,1,0,1,0
"CHP-HQ A/C, STAFF",FT/COMPLY:INSPEC RULE/REG,I,1,0,0,1
"CHP-HQ A/C, STAFF",FT/YIELD BE4 LEFT/U-TURN,I,1,0,0,1
"CHP-HQ A/C, STAFF",HEADLAMP VIOLATION,I,1,0,1,0
"CHP-HQ A/C, STAFF",HEADLAMP:OPR/AMT/SIZE:VIO,I,3,0,1,2
"CHP-HQ A/C, STAFF",HIGHBEAM PROJECT 350 FEET,I,1,0,0,1
"CHP-HQ A/C, STAFF",HIRE VEH/ETC:ID DSPL VIOL,I,1,0,0,1
"CHP-HQ A/C, STAFF",ILEGAL UTURN:BUS DIST/ETC,I,1,0,1,0
"CHP-HQ A/C, STAFF",LEFT TURN INTERSECTN VIOL,I,1,0,1,0
"CHP-HQ A/C, STAFF",LICENSE PLATE DISPLAY VIO,I,1,0,1,0
"CHP-HQ A/C, STAFF",LOUD/UNREASONABLE NOISE,I,2,0,0,2
"CHP-HQ A/C, STAFF",NO HND HLD DEVICE W/DRIVE,I,1,0,0,1
"CHP-HQ A/C, STAFF",NO REG:VEH/TRAILER/ETC,I,13,0,6,7
"CHP-HQ A/C, STAFF",NO TEXT-BASED COMM W/DRIV,I,1,0,0,1
"CHP-HQ A/C, STAFF",NOT EQUIPED W/SMOG DEVICE,I,2,0,2,0
"CHP-HQ A/C, STAFF",OPR M/CYCLE W/O PROPR LIC,I,1,0,0,1
"CHP-HQ A/C, STAFF",OPR VEH:WINDOW OBSTRUCTED,I,7,0,5,2
"CHP-HQ A/C, STAFF",OPR VEH/ETC W/O LIC TYP,I,1,0,1,0
"CHP-HQ A/C, STAFF",PARALLEL PARKING VIOL,I,2,0,1,1
"CHP-HQ A/C, STAFF",PARK IN SPACE FOR DISABLE,I,1,0,0,1
"CHP-HQ A/C, STAFF",PARKING/ETC VIO:SPEC CIRC,I,1,0,0,1
"CHP-HQ A/C, STAFF",PASNGR 16+ NO SAFETY BELT,I,1,0,0,1
"CHP-HQ A/C, STAFF",PED NOT ON LEFT EDGE ROAD,I,1,0,0,1
"CHP-HQ A/C, STAFF",PED NOT STOP:OUT CROSWALK,I,2,0,1,1
"CHP-HQ A/C, STAFF",PEDESTRIAN/ETC ON FREEWAY,I,8,0,2,6
"CHP-HQ A/C, STAFF",PEDSTRN FAIL 2 YLD:OVRHD,I,1,0,0,1
"CHP-HQ A/C, STAFF",POSS MARIJ DRIVE/RIDE VEH,I,1,0,1,0
"CHP-HQ A/C, STAFF",POSS MARIJ OVER 28.5 GRAM,I,2,0,1,1
"CHP-HQ A/C, STAFF",POSS MARIJUANA SCHL GRNDS,I,1,0,0,1
"CHP-HQ A/C, STAFF",POSS OPEN CONTAINER:DRIVE,I,1,0,1,0
"CHP-HQ A/C, STAFF",SELL VAPING DEVICE -18 YR,I,1,0,1,0
"CHP-HQ A/C, STAFF",SELL/TRNSP/ETC MARIJUANA,I,6,0,4,2
"CHP-HQ A/C, STAFF",START/BACKUP VEHICLE:HWY,I,4,0,1,3
"CHP-HQ A/C, STAFF",STOP/PARK ON ROADWAY,I,1,0,0,1
"CHP-HQ A/C, STAFF",STOP/PARK VEH ON FREEWAY,I,6,0,3,3
"CHP-HQ A/C, STAFF",TIRE TREAD DEPTH VIOL,I,1,0,1,0
"CHP-HQ A/C, STAFF",TRANPRT/ETC MARIJ 28.5GRM,I,1,0,1,0
"CHP-HQ A/C, STAFF",TRUCK/ETC EXCEED 55 MPH,I,2,0,0,2
"CHP-HQ A/C, STAFF",UNRSTRAINED TOT:PARNT:VEH,I,1,0,0,1
"CHP-HQ A/C, STAFF",UNSAF TURN &/OR NO SIGNAL,I,42,0,18,24
"CHP-HQ A/C, STAFF",UNSAFE LANE CHANGE/ETC,I,61,0,26,35
"CHP-HQ A/C, STAFF",UNSAFE SPEED ON BRIDGE,I,1,0,0,1
"CHP-HQ A/C, STAFF",UNSAFE SPEED:PREVAIL COND,I,22,0,8,14
"CHP-HQ A/C, STAFF",USE CELLPH W/DRIV W/O HFD,I,4,0,2,2
"CHP-HQ A/C, STAFF",USE SHOLDER/ETC:PAS RIGHT,I,1,0,0,1
"CHP-HQ A/C, STAFF",VEH BLOCK XWALK/SIDEWALK,I,1,0,1,0
"CHP-HQ A/C, STAFF",VEH FOLLOW TOO CLOSELY,I,5,0,2,3
"CHP-HQ A/C, STAFF",VEH XING/ETC:SIGN/REG VIO,I,2,0,0,2
"CHP-HQ A/C, STAFF",VENDING ON/NEAR FREEWAY,I,2,0,0,2
"CHP-HQ A/C, STAFF",VIOL:METHOD OF SIGNALING,I,1,0,0,1
"CHP-HQ A/C, STAFF",DUI ALCOHOL AND DRUG,M,10922,40,4781,6101
"CHP-HQ A/C, STAFF",DUI ANY DRUG,M,1353,25,632,696
"CHP-HQ A/C, STAFF",DUI ALCOHOL,M,12272,24,5465,6783
"CHP-HQ A/C, STAFF",DUI ALCOHOL/DRUGS,M,8556,24,3721,4811
"CHP-HQ A/C, STAFF",DUI ALCOHOL/DRUG,M,714,12,305,397
"CHP-HQ A/C, STAFF",TAKE VEH W/O OWNER CONSNT,M,69,8,26,35
"CHP-HQ A/C, STAFF",DRIVE W/O LICENSE,M,47,6,20,21
"CHP-HQ A/C, STAFF",DUI DRUG,M,254,5,100,149
"CHP-HQ A/C, STAFF",EVADING PEACE OFFICER,M,74,3,29,42
"CHP-HQ A/C, STAFF",HIT&RUN PROP DAMAG:LOCATE,M,33,3,15,15
"CHP-HQ A/C, STAFF",OBSTRUCT/ETC PUB OFCR/ETC,M,197,3,99,95
"CHP-HQ A/C, STAFF",RECKLESS DRIVING:HIGHWAY,M,74,3,48,23
"CHP-HQ A/C, STAFF",DISORD CONDUCT:UI/DRUG,M,113,2,49,62
"CHP-HQ A/C, STAFF",REC KNWN STOLN PROP,M,21,2,11,8
"CHP-HQ A/C, STAFF",RECKLESS DRIVING,M,41,2,25,14
"CHP-HQ A/C, STAFF",CARRY CON/DIRK OR DAGGER,M,1,1,0,0
"CHP-HQ A/C, STAFF",DISORDRLY CONDUCT:TOLUENE,M,81,1,31,49
"CHP-HQ A/C, STAFF",DUI ALC/DRUG:CAUS BOD INJ,M,21,1,13,7
"CHP-HQ A/C, STAFF",DUI ALCOHOL/0.08 PERCENT,M,1034,1,405,628
"CHP-HQ A/C, STAFF",DUI:ALC/.04 COMERCIAL VEH,M,12,1,0,11
"CHP-HQ A/C, STAFF",EXHIBIT FIREARM,M,6,1,3,2
"CHP-HQ A/C, STAFF",FL OBEY ORD JUV CRT:602WI,M,1,1,0,0
"CHP-HQ A/C, STAFF",HIT AND RUN,M,28,1,12,15
"CHP-HQ A/C, STAFF",HIT AND RUN:PROP DAMAGE,M,32,1,11,20
"CHP-HQ A/C, STAFF",ILLEGAL SPEED CONTEST,M,57,1,54,2
"CHP-HQ A/C, STAFF",MNR OPR VEH:CARRY ALC,M,2,1,1,0
"CHP-HQ A/C, STAFF",POSSESS NARCOTIC CNTL SUB,M,3,1,1,1
"CHP-HQ A/C, STAFF",RECKLESS DRIVING:PARK LOT,M,3,1,2,0
"CHP-HQ A/C, STAFF",THRTN CRIME:INT:TERRORIZE,M,14,1,5,8
"CHP-HQ A/C, STAFF",VANDALISM,M,16,1,12,3
"CHP-HQ A/C, STAFF",ADDICT DRIVE VEHICLE,M,9,0,4,5
"CHP-HQ A/C, STAFF",ADW NOT FIREARM,M,11,0,5,6
"CHP-HQ A/C, STAFF",AIDE/ABET SPEED CONTEST,M,10,0,10,0
"CHP-HQ A/C, STAFF",AIDE/ABET SPEED EXHIBITN,M,31,0,25,6
"CHP-HQ A/C, STAFF",ASLT PO/EMERG PRSNL/ETC,M,1,0,0,1
"CHP-HQ A/C, STAFF",ASLT W/FIREARM ON PERSON,M,3,0,1,2
"CHP-HQ A/C, STAFF",ASSAULT ON PERSON,M,2,0,2,0
"CHP-HQ A/C, STAFF",BAT:SPOUSE/EX SP/DATE/ETC,M,16,0,8,8
"CHP-HQ A/C, STAFF",BATERY:SERIOUS BODILY INJ,M,1,0,0,1
"CHP-HQ A/C, STAFF",BATT EMERGENCY PERSON/ETC,M,1,0,0,1
"CHP-HQ A/C, STAFF",BATT PO/EMERG PRSNL/ETC,M,9,0,7,2
"CHP-HQ A/C, STAFF",BATTERY,M,11,0,6,5
"CHP-HQ A/C, STAFF",BATTERY ON PERSON,M,19,0,9,10
"CHP-HQ A/C, STAFF",BENCH WARRANT:FTA:MISD,M,1,0,0,1
"CHP-HQ A/C, STAFF",BLOCK/ETC RD:SPEED CONTES,M,5,0,5,0
"CHP-HQ A/C, STAFF",CARRY SWITCHBLADE KNIFE,M,1,0,0,1
"CHP-HQ A/C, STAFF",CARRY UNLOAD H/GUN PUBLIC,M,1,0,1,0
"CHP-HQ A/C, STAFF",CCLF/ARM:NOT REG OWNER,M,1,0,0,1
"CHP-HQ A/C, STAFF",CCW IN VEHICLE,M,3,0,2,1
"CHP-HQ A/C, STAFF",CCW ON PERSON,M,1,0,1,0
"CHP-HQ A/C, STAFF",CCW OWNER NOT REG W/DOJ,M,1,0,1,0
"CHP-HQ A/C, STAFF",CNTL SUB PARAPHERNALIA,M,9,0,0,9
"CHP-HQ A/C, STAFF",COMM VEH XCEED MAX SPEED,M,1,0,0,1
"CHP-HQ A/C, STAFF",CONSPIRACY:COMMIT CRIME,M,1,0,0,1
"CHP-HQ A/C, STAFF",CONTEMPT:DISOBEY CRT ORDR,M,11,0,6,5
"CHP-HQ A/C, STAFF",CONTEMPT:VIOL PROTECT ORD,M,1,0,0,1
"CHP-HQ A/C, STAFF",CORP INJ ON SPOUSE/COHAB,M,1,0,1,0
"CHP-HQ A/C, STAFF",CRPL INJ:SPOUS/COHAB/DATE,M,5,0,3,2
"CHP-HQ A/C, STAFF",CRRY LOAD F/ARM PUB PLACE,M,8,0,7,1
"CHP-HQ A/C, STAFF",CRRY LOAD H/GUN:NOT OWNER,M,2,0,2,0
"CHP-HQ A/C, STAFF",CRUEL TO CHLD:POS INJ/DTH,M,4,0,1,3
"CHP-HQ A/C, STAFF",DIS CON:LODGE W/O CONSENT,M,20,0,2,18
"CHP-HQ A/C, STAFF",DISOBEY ORDR OF F/MAN/ETC,M,1,0,0,1
"CHP-HQ A/C, STAFF",DISORD CONDUCT:ALCOHOL,M,68,0,29,39
"CHP-HQ A/C, STAFF",DISRD CONDUCT:DRUG W/ALC,M,34,0,16,18
"CHP-HQ A/C, STAFF",DISREGARD SAFETY:EVADE PO,M,21,0,11,10
"CHP-HQ A/C, STAFF",DOMESTIC VIOLENCE W/PRIOR,M,1,0,1,0
"CHP-HQ A/C, STAFF",DRIV:LIC SUS/ETC:UI/RFUSL,M,1,0,0,1
"CHP-HQ A/C, STAFF",DRIV:SUSP/ETC LIC:DUI:VIO,M,26,0,6,20
"CHP-HQ A/C, STAFF",DRIV:SUSP/ETC LIC:RECKLES,M,1,0,1,0
