CDS Code,Offense Description,Offense Level
50116,JURY TAMPERING,M
50006,FALSIFY JURY LIST,F
50111,PERJURY,F
50100,OFCR FILES FALSE REPORT,F
50148,OFFICER FILE FALSE REPORT,M
50083,FALSE AFFIDAVT AS PERJURY,F
26309,DISPLAY/ETC REVOK/ETC LIC,M
26125,DISPLAY ANOTHER'S LICENSE,M
26139,UNLAWFUL POSS/DUPL LICENS,M
31242,SUBVERT LICENSING EXAM,M
31198,BUS/PROF CONSPIRE W/UNLIC,M
50009,SUBORNATION OF PERJURY,F
50010,PERJ:INOCENT PRSN EXECUTD,F
26005,FALSE STATEMNT UNDER OATH,F
26645,FRDLNT CONDCT DRNG INVEST,M
54072,OBSTRUCT NAVIGABLE WATERS,M
48006,OFFER FALSE EVIDENCE,F
48149,UNLAWFUL WITNESS COMPNS,M
48007,DECEIVE WITNESS,M
66212,DISCHRG FUEL OIL IN WATER,M
48008,PREPARE FALSE EVIDENCE,F
48009,DESTROY/CONCEAL EVIDENCE,M
48125,FIX EVID:HARM SAFETY OFCR,M
48093,PREVENT/DISSUADE WIT/VICT,M
48116,PRVENT/DISUADE VIC/WITNES,F
48094,ATT PREVENT/DISS WIT/VICT,M
48117,ATT PRVNT/DISUADE VIC/WIT,F
48064,INTIM WIT/VICT FR/RPRT,M
48118,ATT PRVNT/ETC VIC/ETC:RPT,F
48065,INTIM WIT/VICT FROM PROS,M
48119,ATT STOP VIC/ETC:PROSCUTE,F
48066,INTIM WIT/VICT FR SEK ARR,M
48120,ATT STOP VIC/ETC:SEK ARST,F
48058,INTIMIDATE WIT/VICT,F
48067,INTIMIDATE WIT/VICT,F
48068,INTIM WIT/VICT:PR CONV,F
48069,INTIMIDATE WIT/VICT,F
48137,POSSES F/ARM:VIOL P/ORDER,M
52153,C/D/WPN:INT:INTIM WIT/VIC,F
52680,CDW W/INT INTIM WIT/VICT,M
48045,PRIS GIV PRIS WIT/ETC INF,F
48150,SEX OFR REVEAL WIT INFO,M
51032,INFLUENCE TESTIMONY:BRIBE,F
51033,GET FLSE TESTMONY:FRC/ETC,F
51034,UNLAW INFLU OF TESTIMONY,M
51040,BRIBE WITNESS,F
51039,WITNESS RECEIVE BRIBE,F
48082,FELN THRT FRC/ETC:WIT/ETC,F
48151,FEL THRTN FRC/ETC:WIT/ETC,M
48126,THRET FORCE/ETC:WIT/VICT,F
48127,THREAT FORCE/ETC WIT/VICT,M
48133,ALT EVID WIT CHRG W/CRIME,M
48134,PO ALT/ETC PHYS MATTER WI,F
48148,PROS ATT ALT PHYS MTR WI,F
48070,PO REFUSE TO ARREST,F
48152,PO REFUSE TO ARREST,M
56004,DELAY TAKING BEFORE JUDGE,M
44045,MAKE ARREST/ETC W/O AUTH,M
44086,SEIZE/LEVY PROP W/O AUTH,M
44087,DSPSSESS LND/ETC W/O AUTH,M
44047,IMPERSON STATE DEPUTY/ETC,M
44088,FLS DEPUTY/ETC ARREST/DTN,M
44089,FLS DEPUTY/ETC INTIMIDATE,M
44090,FLS DEPUTY/ETC SRCH PERSN,M
44091,FLS DEPUTY/ETC OBT MONEY,M
44046,IMP PUB OFCR/ETC:ARST/ETC,F
44092,FLS PUB OFCR ARREST/DETN,M
44093,FLS PUB OFCR ARREST/DETN,F
44072,IMP PUB OFCR/ETC:INTIMIDA,M
44094,FLS PUB OFCR INTIM PERSON,M
44095,FLS PUB OFCR INTIM PERSON,F
44096,FLS PUB OFCR SEARCH PERSN,M
44097,FLS PUB OFCR SEARCH PERSN,F
44098,FLS PUB OFCR OBTAIN MONEY,M
44099,FLS PUB OFCR OBTAIN MONEY,F
44005,REQ/ETC INFO GUIS GOV ENT,M
26006,ILLEGAL USE PO/ETC NAME,M
50011,SEL/ETC BAGE/ETC:FAV TRET,M
48090,DISCL PO/ETC ADR PH/NBR,M
48043,DISCLS/ETC PO/ETC ADR/ETC,M
48044,GIVE PO/ETC ADR/ETC:B/INJ,F
48141,PO/ETC DISCLOSE INFO,M
48142,PO/ETC SOLICITS:EXCH INFO,M
48153,SOLICT PO/ETC FINAN GAIN,M
48143,PO/ETC SOLICIT:SELL PHOTO,M
48154,SOLICT PO/ETC DISCL PHOTO,M
56006,INHUMANITY TO PRISONERS,M
48122,OBSTRUCT/ETC PUB OFCR/ETC,M
48132,OBSTR/ETC PUB OFC:RADIO,M
48087,TAKE NON-FIREARM FROM PO,F
48123,TAKE PO/ETC WPN:NON-F/ARM,M
48091,TAKE F/ARM FROM PO:SC,F
48085,ATT RMV/ETC F/ARM:PO/ETC,F
48124,ATT REM/ETC PO/ETC F/ARM,M
48092,ATT RMV 'PO' F/ARM:S/CIRC,F
53081,FALSE BOMB/ETC REP:PO/ETC,F
53129,FALSE BOMB/ETC RPT:PO/ETC,M
53102,FALSE BOMB RPRT TO PO,F
53147,FALSE BOMB REPORT ON DUTY,M
53103,FALSE BOMB REPORT,F
53148,FALSE BOMB REPORT,M
52164,GIVE/PLACE/ETC FALSE BOMB,F
53149,GIVE/PLACE/ETC FALSE BOMB,M
48089,RESIST PO:CAUSE DEATH/SBI,F
48138,RESIST PO:CAUSE DEATH/SBI,M
48155,DISOBEY FIREMAN/PO ORDERS,M
48156,DISORD CONDUCT AT FIRE,M
48157,PRVNT ASSTNC EXTNGSH FIRE,M
48028,INTRFER/ETC:FIREMAN/RESCR,M
48029,DISOBEY ORDR OF F/MAN/ETC,M
48030,DLAY/PRVNT FIRE EXTNGUISH,M
48031,PREVENT FIRE ASSISTANCE,M
53059,FALSE REPORT EMERGENCY,M
53060,FALSE RPT EMERG:GBI/DEATH,F
53116,TAMPER/ETC W/FIREALRM/ETC,M
53086,SEND/ETC FALSE FIRE ALARM,M
53119,FALSE FIRE ALARM:GBI,F
53120,FALSE FIRE ALARM:DEATH,F
53104,FALSE CRIME:TO SPEC PO'S,M
53105,FALS RPT CRIME:SPEC PO,M
53110,FLS RPT CRIME:LAW ENF EMP,M
53126,FLS RPT CRIME:GRAND JURY,M
53146,FLS RPT F/A LOST:LE EMP,M
48099,FALSE ALEGE:PO MISCONDUCT,M
48100,FALSE CLAIM/LEIN AGNST PO,M
44006,IMPRSNATE:SRV OTHRS SENT,M
48077,FALSE ID TO SPECIFIC PO'S,M
48079,FALSE ID TO SPECIFIC PO,M
13004,ASSAULT BY PUBLIC OFFICER,F
13221,ASSAULT BY PUBLIC OFFICER,M
48015,REFUSE TO AID OFFICER,M
9134,ADVOCATE INJ PO W/O INJ,M
9135,ADVOCAT KILL/INJ PO W/INJ,F
66123,CONCL/ETC ACCIDENTL DEATH,M
50145,FAIL RPT CRIM AGST CHILD,M
48016,COMP/CNCEL CRIM:TAK $/ETC,M
48041,COMP/CNCEL CRIM:FOR $/ETC,F
26339,DBTR HID/ETC PROP:DEF/ETC,M
26340,DBTR HID/ETC PROP:DEF/ETC,F
26341,DEFN HID/ETC PROP:DEF/ETC,M
26342,DEFN HID/ETC PROP:DEF/ETC,F
26646,SELL/ETC PROP AVOID RESTN,M
26546,SELL/ETC PROP:AVOID RESTI,F
26009,MISREP CHILD TO INHERIT,F
26010,SUB ONE CHILD FOR ANOTHER,F
50012,COMMON BARRATRY,M
31247,BAIL SRVS:SOLICITATION,M
51021,BRIBE PUBLIC OFFICIAL,F
50103,CNTMPT:CRT:DISRD/ETC BEHV,M
50187,CONTEMPT:VIOL GANG INJUNC,M
50104,CONTEMPT:PRESENCE OF JURY,M
50105,CONTEMPT:BREACH OF PEACE,M
50106,CONTEMPT:DISOBEY CRT ORDR,M
50107,CONTEMPT:RESIST ORDER/ETC,M
50108,CONTEMPT:REFUSE TO SWEAR,M
50183,CONTEMPT:JUROR DISOBEY,M
50109,CONTEMPT:PUB FLS/ETC RPT,M
50184,CONTEMPT:REFUSE TO SWEAR,M
50110,CONTEMPT:INFLUENCE SENT,M
50185,CONTEMPT:PUB FLS/ETC RPT,M
50174,CONTEMPT:VIOL GANG INJUNC,M
50186,CONTEMPT:INFLUENCE SENT,M
50166,CNTEMPT OF COURT:PR 646.9,M
50112,CONTEMPT:VIOL PROTECT ORD,M
50124,VIO PROT ORD:DOMSTIC W/PR,F
50125,VIO PROT ORDER:DOMES:W/PR,M
50150,VIO PROT ORD:W/FIREARM,M
50151,VIO PROT ORD:W/FIREARM,F
50022,RECORD JURY DELIBERATION,M
50094,DISCL WARR INFO PR EXECUT,F
50024,PICKT COURTHSE IMPDE JUST,M
57004,OBTAIN WARRANT W/O CAUSE,M
48017,COMMUN W/REFORM INMATE,M
52349,POS IN AIRPORT:FIREARM,M
52358,POS IN AIRPORT:STUN GUN,M
52359,POS AIRPORT:PROJECTLE WPN,M
52360,POS IN AIRPORT:AMMUNITION,M
52350,POSSESS IN AIRPORT:KNIFE,M
52351,POS IN AIRPORT:BOX CUTTER,M
52352,POS IN AIRPRT:HND GRENADE,M
52353,POS AIRPRT:RPLCA GRENADE,M
52354,POS AIRPRT:PLSTIC GRENADE,M
52355,POS AIRPRT:REPLICA F/ARM,M
52356,POS AIRPRT:FRAME OF F/ARM,M
52357,POS AIRPRT:TEAR GAS WPN,M
52681,POSS WPN STERIL TRNST FAC,M
52245,POS/ETC F/ARM:PUB BLD/ETC,F
52682,POSS/ETC F/ARM: PUB BLDG,M
52227,POS/ETC D/WPN:PUB BLD/ETC,F
52649,POSS DEADLY WPN:PUB BLDG,M
52246,POS/ETC KNIFE:PUB BLD/ETC,F
52683,POSS/ETC KNIFE: PUB BLDG,M
52311,POSS/ETC TEARGAS:PUB BLDG,F
52312,POSS/ETC TEARGAS:PUB BLDG,M
52304,POS/ETC TASER/STUNGUN:BLD,F
52305,POS/ETC TAZER/STUNGUN:BLD,M
52418,POSS/ETC BB/PELLET:PUBBLD,F
52419,POSS/ETC BB/PELLET:PUBBLD,M
52149,LOAD F/ARM:STATE CAP/ETC,F
52684,LOADED FIREARM ST CAPITOL,F
52685,LOADED FIREARM ST CAPITOL,M
52686,POSS WEAPON ST CAPITOL,M
52383,LOADED GUN:ST OFCR RESDNC,F
52384,LOADED GUN:ST OFCR RESDNC,M
52385,LOADED GUN:ST OFCR RES GR,F
52386,LOADED GUN:ST OFCR RES GR,M
52146,LOADED GUN ST OFF RES GRD,F
53012,REMAIN IN LEGIS CHAMBER,M
53013,DISRUPT STATE CAPITOL BUS,M
41080,SELL LIQUOR NEAR PRISON,M
41004,SELL LIQ NEAR UNIVERSITY,M
41005,SELL LIQUOR NEAR UCLA,M
41006,SELL LIQ NEAR UC RIVERSDE,M
41007,SELL LIQ NR CRTN COLL/UNV,M
41009,SELL LIQ NR CLAREMNT COLL,M
3004,IMPORT FOREIGN CONVICTS,M
56007,INFRINGE PERSONAL LIBERTY,F
46028,CONSPIRACY:COMMIT CRIME,F
46038,CONSPIRACY:COMMIT CRIME,M
46029,CONSP:FALSE/ETC INDICTMNT,F
46044,CONSP: FALSE INDICTMENT,M
46030,CNSP:FLS MNTN/ETC SUIT/ET,F
46045,CONSP: FLS MAINTAIN SUIT,M
26596,CONSPIRACY/DEFRAUD/PROP,M
46031,CONSPIRE:DEFRAUD/ETC PRSN,F
46032,CONSPRCY:OBST JUSTICE/ETC,F
46046,CONSP: INJUROIUS TO PUB,M
46033,CONSP:AGAINST EXEC OFICER,F
46035,CONSPIRE COMMIT FEL:GANG,F
46047,CONSP COMMIT FEL GANG ACT,M
48018,WEAR MASK UNLAWFL PURPOSE,M
47002,MONEY LAUNDERING,F
47006,MONEY LAUNDERING,M
66062,PARTICIPATE:CRIM ST GANG,F
66107,PARTICIPATE:CRIME ST GANG,M
66149,PROMOTE/ETC CRIM ST GANG,F
66130,CRIM ST GANG:PUB OFF CONV,M
66131,CRIM ST GANG:PUB OFF CONV,F
66081,VIOL:GET MIN:CRIM ST GANG,F
66128,VIOL SOLICIT CRM ST GANG,F
66217,SOLICIT BY THREAT ST GANG,F
66121,MNR COERC/ETC MNR:ST GANG,M
66126,PHY VIO COERC/ETC ST GANG,F
66105,SELL/ETC F/ARM:GANG ACTIV,M
66106,SEL/ETC F/ARM:GANG ACTIVE,F
66129,VIOL REG REQ:CRIM ST GANG,M
9005,MURDER,F
9154,MURDER:FIRST DEGREE,F
9155,MURDER:SECOND DEGREE,F
9174,MURDER:SEC DEG ON PO,F
9176,MRDR:1ST DEG:SHOOT F/VEH,F
9157,GR VEH MANSL WHILE INTOX,F
9180,GROS VEH MNSL W/VES:INTOX,F
9198,VEH MANSL WHILE INTOXICAT,F
9199,VEH MANSL WHILE INTOXICAT,M
9146,VOLUNTARY MANSLAUGHTER,F
9147,INVOLUNTARY MANSLAUGHTER,F
9150,VEH MANSL W/GROSS NEG,F
9200,VEH MANSL W/GROSS NEGLNCE,M
9151,VEH MANSL W/O GROSS NEG,M
9158,DUI VEH MANS W/O GR NEG,F
9201,VEH MNSL:CAUSE ACC F/GAIN,F
9177,VEH MNSL W/VESSL W/GR NEG,F
9178,VEH MNSL W/VES W/O GR NEG,M
9202,VEH MNSL W/VES W/O GR NEG,F
9179,V/MNSL:VES:ALC/DRG:NO NEG,F
9203,V/MNSL:VESS WITH/GRS NEGL,F
9204,VEH MNSL:VES W/GROS NEGL,M
9205,VEH MNSL:VESS:W/O GRS NEG,M
13005,MAYHEM,F
13129,AGGRAVATED MAYHEM,F
13142,TORTURE,F
10016,KIDNAPPING,F
10017,KIDNAP -14 TO COM L&L,F
10019,KIDNAP:FORC/ETC:TAKE O/ST,F
10022,KIDNAP:FORC/ETC:INTO CA,F
10021,KIDNAP CHILD UNDER 14 YRS,F
10011,KIDNAPPING FOR RANSOM,F
10028,KIDNAP TO COMMIT RAPE,F
10029,KIDNAP TO COMMIT ROBBERY,F
10024,KIDNAP DURING CARJACKING,F
10026,KIDNAP/CARJACK:VICT MOVED,F
21004,POSE AS KIDNAPPER:EXTORT,F
56023,USE PERSON AS SHIELD,F
12004,ROBBERY,F
12017,ROBBERY:FIRST DEGREE,F
12018,ROBBERY:SECOND DEGREE,F
12040,ROBBERY 1ST DEG HOME INV,F
12007,FEAR AS ELEMENT ROBBERY,F
26048,NONNEGOTABLE PAYMENT WAGE,M
12032,ROBBERY,F
12030,ROB:1ST DEG:CAB/ETC/DWELL,F
12035,ROB:FIRST DEGREE:ATM/ETC,F
12036,ROBBERY:SECOND DEGREE,F
50118,CONTEMPT OF COURT:JUV/ETC,M
12039,ROB 1:INHAB DWELL:CONCERT,F
12033,ROBBERY:SECOND DEGREE,F
12011,TRAIN ROBBERY,F
50127,FTA JUV COURT/ETC:PROMISE,M
23131,CARJACKING,F
26049,REFUSE TO PAY WAGES DUE,M
13109,ASSAULT PUBLIC OFFICIAL,F
13225,ASSAULT PUBLIC OFFICIAL,M
13110,ATT MURDER PUB OFCL,F
13010,ATTEMPT TRAIN WRECKING,F
13214,OBST/DAMAGE/DERAIL TRAIN,F
13215,OBSTR/DAMAGE/DERAIL TRAIN,M
13011,TRAIN WRECKING,F
13012,THROW OBJ:COM CARRIER VEH,F
13013,THROW OBJECT AT TRAIN,F
13119,THROW/ETC OBJECT AT TRAIN,M
13014,THROW OBJ FROM TOLL BRIDG,M
11004,ASSAULT:COMMIT RAPE,F
11005,ASSAULT TO COMMIT SODOMY,F
11030,ASLT:MAYHEM/RAPE/ETC,F
11063,ASLT:PENETRATE W/OBJECT,F
11064,ASSLT TO COMMIT ORAL COP,F
11065,ASLT:COMIT LEWD/LASC:CHLD,F
11068,ASLT:RAPE:CONCERT W/OTHER,F
11095,ASLT W/INT COMT RAPE/ETC,F
13016,ASSAULT TO COMMIT MAYHEM,F
11091,ASLT:W/INTENT TO RAPE,F
11096,ASSAULT:W/INTENT TO RAPE,F
11106,ASSAULT:-18 W/INT TO RAPE,F
11092,ASLT:INTENT RAPE IN 459,F
13018,GIVE DRUGS AID IN FELONY,F
66133,VEND:HWY VISTA POINT/ETC,M
31142,FAIL FURNISH WAGE STATMNT,M
56008,FALSE IMPRISONMENT,M
56016,FALSE IMPRISONMENT,F
56020,FALSE IMPRISON W/VIOLENCE,F
56037,HUMAN TRAFFICKING/LABOR,F
56040,HMN TRAFF:DEPR PER LBRTY,F
56038,HUMAN TRAFFICKING/-18YRS,F
56027,FALSE IMPRISON:VIOL/ETC,F
56028,FALSE IMPRISONMENT,M
56029,IMPRISON:ELD/ETC:VIO/ETC,F
31293,FAIL OBEY STOP ORDER VIOL,M
13047,ASSAULT ON PERSON,M
13076,ASLT PO/EMERG PRSNL/ETC,M
13086,ASSAULT ON PERSON,M
13075,ASLT PO/EMERG PRSNL/ETC,M
13207,ASLT PO/FIREFIGHTER/ETC,M
13101,ASLT ON CUSTODIAL OFFICER,F
13194,ASLT ON CUSTODIAL OFFICER,M
13158,ASLT PRSN SCH/PARK PROP,M
13231,ASSLT PERSON SCHOOL PROP,M
13171,ASLT PRSN:PUB TRANSP/ETC,M
13118,ASLT SCHOOL DISTRICT PO,F
13199,ASLT SCHOOL DISTRICT PO,M
13208,ASLT ON HIGHWAY WORKER,M
13146,ASLT ON SCHOOL EMPLOYEE,M
13159,ASSAULT ON JURORS,F
13045,BATTERY,M
13048,BATTERY ON PERSON,M
13161,BATT W/SERIOUS BODILY INJ,F
13173,BAT:SPOUSE/EX SP/DATE/ETC,M
13176,BATTERY,F
13179,BAT W/SERIOUS BODILY INJ,M
13183,BAT EMERGENCY PERSON/ETC,F
13184,BAT AGAINST PEACE OFFICER,F
13064,BATTERY,F
13082,BATTERY ON PERSON,M
13081,BATT PO/EMERG PRSNL/ETC,M
13226,BATTERY PO/ETC W/INJURY,F
13181,BAT EMERGENCY PERSON/ETC,F
13195,BATT EMERGENCY PERSON/ETC,M
13182,BATTERY AGAINST PO,F
13200,BATTERY AGAINST PO,M
13084,BATT W/SERIOUS BODILY INJ,F
13180,BATERY:SERIOUS BODILY INJ,M
13187,BATTERY:SPOUSE/ETC,M
13174,BAT:SPOUSE/EX SP/DATE/ETC,M
13061,BATT ON CUSTODIAL OFFICER,F
13222,BATT AGNST MBR US FORCES,M
13223,BATTERY NONINMATE BY INMT,F
13224,BATTERY NOINMATE BY INMT,M
13152,BAT ON PRSN:SCH/PARK/ETC,M
13198,BATT ON PRSN:SCH/HOSP/ETC,M
13203,BATT:ELDER/DEP ADULT,M
13166,BAT:TRNSPORT PRSNL/PASNGR,M
13167,BAT W/INJ:TRNS WRKR/PSNGR,F
13172,BATT PRSN:PUB TRANSP/ETC,M
11093,SEXUAL BATTERY,M
11049,SEXUAL BATTERY,F
11073,SEXUAL BATTERY,M
11051,SEX BAT:MEDICLY INST PRSN,F
11094,SEX BATT:MED INST PERSON,M
11081,SEXUAL BATT:UNCONS PERSON,F
11082,SEXUAL BATT:UNCONS PERSON,M
11053,SEXUAL BATT:SEX AROUSAL,M
11083,SEXUAL BATT:SEX AROUSAL,F
11084,SEXUAL BATT:SEX AROUSAL,M
11090,SEXUAL BATT:W/PR FEL CONV,F
13135,BATT ON SCHOOL EMPLOYEE,M
13136,BATT ON SCHOOL EMP W/INJ,F
13209,BATT ON HIGHWAY WORKER,M
13170,BATTERY AGAINST JUROR/ETC,F
13168,BATT AGAINST SPORTS OFCL,M
13227,UNLAW COND AT PRO SPORTS,I
13191,BATT/GASSING PO/ETC EMP,M
13192,BATT/GASSING PO/ETC EMP,F
13029,ASLT W/CAUSTIC CHEM/ETC,F
13127,ASSAULT W/STUN GUN/TASER,F
13210,ASLT W/STUN GUN/LL WEAPON,F
13211,ASLT W/STUN GUN/LL WPN,M
13145,ASLT PO W/STUN GUN/TASER,F
13212,ASLT PO W/STUN GUN/LL WPN,F
13213,ASLT PO W/STUN GUN/LL WPN,M
13094,FORCE/ADW NOT FIREARM:GBI,F
13175,FORCE/ADW-NOT FIREARM:GBI,M
13219,ADW NOT FIREARM,F
13220,ADW NOT FIREARM,M
13095,ASLT W/FIREARM ON PERSON,F
13201,ASLT W/FIREARM ON PERSON,M
13148,ASLT W/MACHINEGUN ON PRSN,F
13217,ADW/FORCE:POSSIBLE GBI,F
13218,ADW/FORCE:POSSIBLE GBI,M
13163,ASLT PRSN:SEMIAUTO F/ARM,F
13132,ADW NOT F/ARM:PO/FIRE:GBI,F
13133,ASLT PO W/FIREARM,F
13164,ASLT:SEMIAUTO F/ARM:PO/FF,F
13143,ASLT PO W/MACHINEGUN/ETC,F
13116,ADW TRANSP PRSNL/ETC,F
13105,ADW ON CUSTODIAL OFF:GBI,F
13139,ADW/GBI SCHL EMP:NO F/ARM,F
13140,ASLT SCHOOL EMP W/FIREARM,F
13141,ASLT SCH EMP W/STUN GUN,F
13228,ASSLT SCHL EMP W/STUN GUN,M
66155,HAZING:WITHOUT SBI,M
66156,HAZING:RESULTS DEATH/SBI,F
66157,HAZING:RESULT DEATH/SBI,M
13106,SHOOT:INHAB DWELL/VEH/ETC,F
13193,SHOOT:INHAB DWELL/VEH/ETC,M
52176,ILL FIREARM DISCH W/NEGL,F
52295,SHOOT FIREARM NEGLIGENTLY,M
52387,WIL DISCH F/ARM W/GRS NEG,F
52388,WIL DISCH F/ARM W/GRS NEG,M
52389,DISCH BB DEVICE:GRS NEGL,M
13147,SHOOT AT UNOCC AIRCRAFT,F
13156,SHOOT UNOC DWELL/VEH/ETC,F
13160,DSCHRG LASER:OCC AIRCRAFT,F
13189,DISCH LASER:OCC AIRCRAFT,M
13186,IMPAIR AIRCRAFT:LIGHT/ETC,M
11054,RAPE:VICT INCPBL OF CNSNT,F
11055,RAPE BY FORCE/FEAR/ETC,F
11056,RAPE OF DRUGGED VICTIM,F
11057,RAPE:VICT UNCONSC OF ACT,F
11085,RAPE:VICT UNCONSCIOUS,F
11086,RAPE:VICTIM NOT AWARE,F
11087,RAPE:VICTIM OF PERP FRAUD,F
11088,RAPE:VIC UNAWR:FRAUD MISR,F
11058,RAPE:VICT THINKS SPOUSE,F
11103,RAPE:VICT KNOWS PERSON,F
11059,RAPE:THREAT RETALIATION,F
11060,RAPE:THREAT:AUTH:ARST/ETC,F
36091,SEX INTERCOURSE W/MNR -18,F
36094,SEX W/MINOR:+ OR - 3 YRS,M
36093,SEX W/MINOR:3+ YRS YOUNGR,F
36096,SEX W/MINOR:SPEC CIRC,M
36092,SEX W/MNR:PERP 21+ VIC-16,F
36095,SEX W/MINOR -16:PERP 21+,M
11062,RAPE SPOUSE BY FORCE/ETC,F
11067,RAPE SPOUSE UND C/SUB/ETC,F
11070,RAPE:SPOUSE UNCON OF ACT,F
11071,RAPE SPOUS:THRET RETALIAT,F
11072,RAPE SPOUS:THRET:ARST/ETC,F
11104,RAPE:UPON CHILD-14 YRS,F
11105,RAPE:MINOR 14+ YEARS,F
11018,RAPE/ETC:CNCRT FORCE/VIOL,F
11097,RAPE/ETC:CNCRT FORCE/VIOL,F
11098,RAPE:CNCRT/FORCE:CHILD-14,F
11099,RAPE:CNCRT/FORCE:MNR 14+,F
10007,ABDUCT WOMEN FOR MARRIAGE,F
40004,ENTICE MIN FEM: PROSTITU,F
40049,ENTICE MINOR FEM:PROSTITU,M
40055,ENTICE MNR FOR PROST/ETC,M
40056,ENTICE MNR FOR PROST/ETC,F
40005,TAKE PRSN TO PROSTITUTE,F
11019,TAKE PRSN FOR ILLICIT REL,F
36078,NDUCE SEX/ACT:FLS REP/ETC,F
36248,NDUCE SEX/ACT:FLS REP/ETC,M
40024,RECEIVE MONEY:COHAB PLCMT,F
40007,PAY FOR PROSTITUTION/ETC,F
40008,PANDER:IMMORAL PURPOSE,F
40009,PLACE WIFE IN BROTHEL,F
40030,PIMPING,F
40042,PIMPING:PROSTITUTE 16+,F
40043,PIMPING:PROSTITUTE -16,F
40033,PANDERING,F
40039,PANDER:PROCR PRSN F/PROST,F
40037,PANDER PRSN F/PROST:THRET,F
40038,PANDER:PROCR PLACE F/PRST,F
40050,PANDER ENCRG PLACE PROST,F
40051,PANDER ABS POWER F/PROST,F
40052,PANDER RCV MNY PRCR PROST,F
40044,PANDERING:OTHR PERSON 16+,F
40045,PANDERING:OTHR PERSON -16,F
37042,PROCURE CHILD UND 16 L&L,F
40012,ABDUCT MNR TO PROSTITUTE,F
11079,AGG SEXUAL ASLT OF CHILD,F
11066,AGG SEX ASLT:MNR:FRCE/ETC,F
11080,AGG SEX ASLT:MNR:264.1PC,F
11077,AGG SEX ASLT:MNR:SDMY/ETC,F
11074,AGG SEX ASLT:MNR:ORAL/ETC,F
11069,AGG SEX ASLT:MNR:FRGN OBJ,F
38004,FAILURE TO PROVIDE,M
38026,FAIL PROVIDE AFTR AJUDCTN,F
38079,PARENT:CHRONIC TRUANT:ATT,M
38065,PARNT RFUSE MNR SHLTR/ETC,M
50152,VIOL CRT ORD:SPOUSE SUPRT,M
38023,FAIL PROVIDE FOR SPOUSE,M
38006,FAIL PROVIDE FOR PARENTS,M
